status_checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_percent,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age,other_installment_plans,housing,existing_credits_count,job,dependents_count,telephone,foreign_worker,credit_risk_good,predicted_credit_risk,predicted_probability
A14,6,A30,A43,426,A61,A75,4,male_married_widowed,A101,4,A123,39,A143,A152,1,A172,1,A191,yes,1,1,0.8503395074793315
A13,12,A31,A43,409,A64,A73,3,female_divorced_separated_married,A101,3,A121,42,A143,A151,2,A173,1,A191,yes,1,1,0.8328193352818306
A12,7,A32,A43,2415,A61,A73,3,male_single,A103,2,A121,34,A143,A152,1,A173,1,A191,yes,1,1,0.9159190641296435
A11,60,A33,A49,6836,A61,A75,3,male_single,A101,4,A124,63,A143,A152,2,A173,1,A192,yes,0,0,0.2624667547542685
A12,18,A32,A49,1913,A64,A72,3,male_married_widowed,A101,3,A121,36,A141,A152,1,A173,1,A192,yes,1,1,0.8128933852761708
A11,24,A32,A42,4020,A61,A73,2,male_single,A101,2,A123,27,A142,A152,1,A173,1,A191,yes,1,0,0.44733091125249563
A12,18,A32,A40,5866,A62,A73,2,male_single,A101,2,A123,30,A143,A152,2,A173,1,A192,yes,1,1,0.564653176617375
A14,12,A34,A49,1264,A65,A75,4,male_single,A101,4,A124,57,A143,A151,1,A172,1,A191,yes,1,1,0.9660607152997626
A13,12,A32,A42,1474,A61,A72,4,female_divorced_separated_married,A101,1,A122,33,A141,A152,1,A174,1,A192,yes,1,1,0.5864183842258225
A12,45,A34,A43,4746,A61,A72,4,male_single,A101,2,A122,25,A143,A152,2,A172,1,A191,yes,0,0,0.4560263386501826
A14,48,A34,A46,6110,A61,A73,1,male_single,A101,3,A124,31,A141,A153,1,A173,1,A192,yes,1,1,0.6964801230572149
A13,18,A32,A43,2100,A61,A73,4,male_single,A102,2,A121,37,A142,A152,1,A173,1,A191,yes,0,1,0.6259301173103856
A13,10,A32,A44,1225,A61,A73,2,male_single,A101,2,A123,37,A143,A152,1,A173,1,A192,yes,1,1,0.8986192576562317
A12,9,A32,A43,458,A61,A73,4,male_single,A101,3,A121,24,A143,A152,1,A173,1,A191,yes,1,1,0.7573084877324119
A14,30,A32,A43,2333,A63,A75,4,male_single,A101,2,A123,30,A141,A152,1,A174,1,A191,yes,1,1,0.8107920065518247
A12,12,A32,A43,1158,A63,A73,3,male_divorced_separated,A101,1,A123,26,A143,A152,1,A173,1,A192,yes,1,1,0.7339930174507472
A12,18,A33,A45,6204,A61,A73,2,male_single,A101,4,A121,44,A143,A152,1,A172,2,A192,yes,1,1,0.6786737823811738
A11,30,A34,A41,6187,A62,A74,1,male_married_widowed,A101,4,A123,24,A143,A151,2,A173,1,A191,yes,1,1,0.8444268221192243
A11,48,A34,A41,6143,A61,A75,4,female_divorced_separated_married,A101,4,A124,58,A142,A153,2,A172,1,A191,yes,0,0,0.3467555735662455
A14,11,A34,A40,1393,A61,A72,4,female_divorced_separated_married,A101,4,A123,35,A143,A152,2,A174,1,A191,yes,1,1,0.7973143784606922
A14,36,A32,A43,2299,A63,A75,4,male_single,A101,4,A123,39,A143,A152,1,A173,1,A191,yes,1,1,0.8792411620109145
A11,6,A32,A41,1352,A63,A71,1,female_divorced_separated_married,A101,2,A122,23,A143,A151,1,A171,1,A192,yes,1,1,0.9009873225162264
A14,11,A34,A40,7228,A61,A73,1,male_single,A101,4,A122,39,A143,A152,2,A172,1,A191,yes,1,1,0.8984797859591558
A14,12,A32,A43,2073,A62,A73,4,female_divorced_separated_married,A102,2,A121,28,A143,A152,1,A173,1,A191,yes,1,1,0.8356184773091492
A12,24,A33,A42,2333,A65,A72,4,male_single,A101,2,A122,29,A141,A152,1,A172,1,A191,yes,1,1,0.6568800200479303
A12,27,A33,A41,5965,A61,A75,1,male_single,A101,2,A123,30,A143,A152,2,A174,1,A192,yes,1,1,0.883777718471719
A14,12,A32,A43,1262,A61,A73,3,male_single,A101,2,A123,25,A143,A152,1,A173,1,A191,yes,1,1,0.9191328166564909
A14,18,A32,A41,3378,A65,A73,2,male_single,A101,1,A122,31,A143,A152,1,A173,1,A192,yes,1,1,0.9868420875354441
A12,36,A33,A40,2225,A61,A75,4,male_single,A101,4,A124,57,A141,A153,2,A173,1,A192,yes,0,0,0.2734220754851068
A14,6,A31,A40,783,A65,A73,1,male_single,A103,2,A121,26,A142,A152,1,A172,2,A191,yes,1,1,0.9556794297846587
A12,12,A32,A43,6468,A65,A71,2,male_single,A101,1,A124,52,A143,A152,1,A174,1,A192,yes,0,1,0.8617662374883349
A14,36,A34,A43,9566,A61,A73,2,female_divorced_separated_married,A101,2,A123,31,A142,A152,2,A173,1,A191,yes,1,1,0.6571641618496235
A13,18,A32,A40,1961,A61,A75,3,female_divorced_separated_married,A101,2,A123,23,A143,A152,1,A174,1,A191,yes,1,1,0.5446195173533244
A11,36,A34,A42,6229,A61,A72,4,female_divorced_separated_married,A102,4,A124,23,A143,A151,2,A172,1,A192,yes,0,0,0.1045537968770434
A12,9,A32,A49,1391,A61,A73,2,male_married_widowed,A101,1,A121,27,A141,A152,1,A173,1,A192,yes,1,1,0.6860518321545828
A12,15,A34,A43,1537,A65,A75,4,male_single,A103,4,A121,50,A143,A152,2,A173,1,A192,yes,1,1,0.9832771604824867
A12,36,A30,A49,1953,A61,A75,4,male_single,A101,4,A124,61,A143,A153,1,A174,1,A192,yes,0,1,0.5049006744965415
A12,48,A30,A49,14421,A61,A73,2,male_single,A101,2,A123,25,A143,A152,1,A173,1,A192,yes,0,0,0.16775220010747535
A14,24,A32,A43,3181,A61,A72,4,female_divorced_separated_married,A101,4,A122,26,A143,A152,1,A173,1,A192,yes,1,1,0.749824518646487
A14,27,A32,A45,5190,A65,A75,4,male_single,A101,4,A122,48,A143,A152,4,A173,2,A192,yes,1,1,0.7365999539336022
A14,12,A32,A43,2171,A61,A72,2,female_divorced_separated_married,A101,2,A123,29,A141,A152,1,A173,1,A191,yes,1,1,0.8042068209136036
A12,12,A32,A40,1007,A64,A73,4,male_married_widowed,A101,1,A121,22,A143,A152,1,A173,1,A191,yes,1,1,0.7284738811049271
A14,36,A32,A46,1819,A61,A73,4,male_single,A101,4,A124,37,A142,A153,1,A173,1,A192,yes,0,1,0.5222357361419013
A14,36,A32,A43,2394,A65,A73,4,female_divorced_separated_married,A101,4,A123,25,A143,A152,1,A173,1,A191,yes,1,1,0.8451744463332476
A14,36,A32,A41,8133,A61,A73,1,female_divorced_separated_married,A101,2,A122,30,A141,A152,1,A173,1,A191,yes,1,1,0.7543226922635577
A14,7,A34,A43,730,A65,A75,4,male_single,A101,2,A122,46,A143,A151,2,A172,1,A192,yes,1,1,0.9823288283714088
A11,8,A34,A410,1164,A61,A75,3,male_single,A101,4,A124,51,A141,A153,2,A174,2,A192,yes,1,1,0.8377000172867313
A12,42,A34,A49,5954,A61,A74,2,female_divorced_separated_married,A101,1,A121,41,A141,A152,2,A172,1,A191,yes,1,1,0.5852691307120725
A11,36,A32,A46,1977,A65,A75,4,male_single,A101,4,A124,40,A143,A152,1,A174,1,A192,yes,0,0,0.4602079841439527
A11,12,A34,A41,1526,A61,A75,4,male_single,A101,4,A124,66,A143,A153,2,A174,1,A191,yes,1,1,0.895756755874404
A11,42,A32,A43,3965,A61,A72,4,male_single,A101,3,A123,34,A143,A152,1,A173,1,A191,yes,0,0,0.3224055156495688
A12,11,A33,A43,4771,A61,A74,2,male_single,A101,4,A122,51,A143,A152,1,A173,1,A191,yes,1,1,0.8997251459689308
A14,54,A30,A41,9436,A65,A73,2,male_single,A101,2,A122,39,A143,A152,1,A172,2,A191,yes,1,1,0.8357165922185466
A12,30,A32,A42,3832,A61,A72,2,male_married_widowed,A101,1,A122,22,A143,A152,1,A173,1,A191,yes,1,0,0.4566269850012569
A14,24,A32,A43,5943,A65,A72,1,female_divorced_separated_married,A101,1,A123,44,A143,A152,2,A173,1,A192,yes,0,1,0.9402499450155947
A14,15,A32,A43,1213,A63,A75,4,male_single,A101,3,A122,47,A142,A152,1,A173,1,A192,yes,1,1,0.9248020232866252
A14,18,A32,A49,1568,A62,A73,3,female_divorced_separated_married,A101,4,A122,24,A143,A151,1,A172,1,A191,yes,1,1,0.7954943684413508
A11,24,A32,A410,1755,A61,A75,4,female_divorced_separated_married,A103,4,A121,58,A143,A152,1,A172,1,A192,yes,1,1,0.8924327913809047
A11,10,A32,A43,2315,A61,A75,3,male_single,A101,4,A121,52,A143,A152,1,A172,1,A191,yes,1,1,0.7948017633098174
A14,12,A34,A49,1412,A61,A73,4,female_divorced_separated_married,A103,2,A121,29,A143,A152,2,A174,1,A192,yes,1,1,0.9719538325595615
A12,18,A34,A42,1295,A61,A72,4,female_divorced_separated_married,A101,1,A122,27,A143,A152,2,A173,1,A191,yes,1,1,0.5937759974826633
A12,36,A32,A46,12612,A62,A73,1,male_single,A101,4,A124,47,A143,A153,1,A173,2,A192,yes,0,0,0.29552173348803246
A11,18,A32,A40,2249,A62,A74,4,male_single,A101,3,A123,30,A143,A152,1,A174,2,A192,yes,1,1,0.6025543792883713
A11,12,A30,A45,1108,A61,A74,4,male_single,A101,3,A121,28,A143,A152,2,A173,1,A191,yes,0,0,0.4644868722405477
A14,12,A34,A43,618,A61,A75,4,male_single,A101,4,A121,56,A143,A152,1,A173,1,A191,yes,1,1,0.9770195673745931
A11,12,A34,A41,1409,A61,A75,4,male_single,A101,3,A121,54,A143,A152,1,A173,1,A191,yes,1,1,0.9368287868287705
A14,12,A34,A43,797,A65,A75,4,female_divorced_separated_married,A101,3,A122,33,A141,A152,1,A172,2,A191,yes,0,1,0.9346346520023577
A13,24,A34,A42,3617,A65,A75,4,male_single,A102,4,A124,20,A143,A151,2,A173,1,A191,yes,1,1,0.6877063020259755
A12,12,A32,A40,1318,A64,A75,4,male_single,A101,4,A121,54,A143,A152,1,A173,1,A192,yes,1,1,0.9019299907771927
A12,54,A30,A49,15945,A61,A72,3,male_single,A101,4,A124,58,A143,A151,1,A173,1,A192,yes,0,0,0.0530919700674609
A14,12,A34,A46,2012,A65,A74,4,female_divorced_separated_married,A101,2,A123,61,A143,A152,1,A173,1,A191,yes,1,1,0.9707380948652455
A12,18,A32,A49,2622,A62,A73,4,male_single,A101,4,A123,34,A143,A152,1,A173,1,A191,yes,1,1,0.6788168853857377
A12,36,A34,A43,2337,A61,A75,4,male_single,A101,4,A121,36,A143,A152,1,A173,1,A191,yes,1,1,0.778886318193256
A12,20,A33,A41,7057,A65,A74,3,male_single,A101,4,A122,36,A141,A151,2,A174,2,A192,yes,1,1,0.8283940307562605
A14,24,A32,A40,1469,A62,A75,4,male_married_widowed,A101,4,A121,41,A143,A151,1,A172,1,A191,yes,1,1,0.7079484455646606
A12,36,A32,A43,2323,A61,A74,4,male_single,A101,4,A123,24,A143,A151,1,A173,1,A191,yes,1,1,0.5415070215302146
A14,6,A33,A43,932,A61,A73,3,female_divorced_separated_married,A101,2,A121,24,A143,A152,1,A173,1,A191,yes,1,1,0.9275005281750529
A12,9,A34,A42,1919,A61,A74,4,male_single,A101,3,A123,35,A143,A151,1,A173,1,A192,yes,1,1,0.8960579161580069
A14,12,A32,A41,2445,A65,A72,2,male_married_widowed,A101,4,A123,26,A143,A151,1,A173,1,A192,yes,1,1,0.973670319316866
A12,24,A34,A410,11938,A61,A73,2,male_single,A102,3,A123,39,A143,A152,2,A174,2,A192,yes,0,1,0.6843806340047704
A14,18,A31,A40,6458,A61,A75,2,male_single,A101,4,A124,39,A141,A152,2,A174,2,A192,yes,0,0,0.335253502842052
A12,12,A32,A40,6078,A61,A74,2,male_single,A101,2,A123,32,A143,A152,1,A173,1,A191,yes,1,1,0.6671630341816615
A11,24,A32,A42,7721,A65,A72,1,female_divorced_separated_married,A101,2,A122,30,A143,A152,1,A173,1,A192,no,1,1,0.8877276636321014
A12,14,A32,A49,1410,A63,A75,1,male_married_widowed,A101,2,A121,35,A143,A152,1,A173,1,A192,yes,1,1,0.899996188781692
A12,6,A33,A49,1449,A62,A75,1,male_divorced_separated,A101,2,A123,31,A141,A152,2,A173,2,A191,yes,1,1,0.6368962639701834
A13,15,A32,A46,392,A61,A72,4,female_divorced_separated_married,A101,4,A122,23,A143,A151,1,A173,1,A192,yes,1,0,0.394641594032592
A12,18,A32,A40,6260,A61,A74,3,male_single,A101,3,A121,28,A143,A151,1,A172,1,A191,yes,1,0,0.4750018498837564
A14,36,A34,A40,7855,A61,A73,4,female_divorced_separated_married,A101,2,A121,25,A142,A152,2,A173,1,A192,yes,0,0,0.4376388870612337
A11,12,A32,A43,1680,A63,A75,3,male_married_widowed,A101,1,A121,35,A143,A152,1,A173,1,A191,yes,1,1,0.746228506011676
A14,48,A34,A43,3578,A65,A75,4,male_single,A101,1,A121,47,A143,A152,1,A173,1,A192,yes,1,1,0.9708364329096537
A11,42,A32,A43,7174,A65,A74,4,female_divorced_separated_married,A101,3,A123,30,A143,A152,1,A174,1,A192,yes,0,1,0.5793704963655567
A11,10,A34,A42,2132,A65,A72,2,female_divorced_separated_married,A102,3,A121,27,A143,A151,2,A173,1,A191,no,1,1,0.9224981481557633
A11,33,A34,A42,4281,A63,A73,1,female_divorced_separated_married,A101,4,A123,23,A143,A152,2,A173,1,A191,yes,0,1,0.6703898980004186
A12,12,A34,A40,2366,A63,A74,3,male_divorced_separated,A101,3,A123,36,A143,A152,1,A174,1,A192,yes,1,1,0.8415176169906308
A11,21,A32,A43,1835,A61,A73,3,female_divorced_separated_married,A101,2,A121,25,A143,A152,2,A173,1,A192,yes,0,1,0.5278414316526885
A14,24,A34,A41,3868,A61,A75,4,female_divorced_separated_married,A101,2,A123,41,A143,A151,2,A174,1,A192,yes,1,1,0.923973251466445
A14,12,A32,A42,1768,A61,A73,3,male_single,A101,2,A121,24,A143,A151,1,A172,1,A191,yes,1,1,0.8835584281378401
A13,10,A34,A40,781,A61,A75,4,male_single,A101,4,A124,63,A143,A153,2,A173,1,A192,yes,1,1,0.8600711365782809
A12,18,A32,A42,1924,A65,A72,4,female_divorced_separated_married,A101,3,A121,27,A143,A151,1,A173,1,A191,yes,0,1,0.6224080608833836
A11,12,A34,A40,2121,A61,A73,4,male_single,A101,2,A122,30,A143,A152,2,A173,1,A191,yes,1,0,0.49932338851909425
A11,12,A32,A43,701,A61,A73,4,male_married_widowed,A101,2,A121,40,A143,A152,1,A172,1,A191,yes,1,1,0.6183823157277657
A12,12,A32,A45,639,A61,A73,4,male_single,A101,2,A123,30,A143,A152,1,A173,1,A191,yes,0,1,0.5651269541889575
A12,12,A34,A41,1860,A61,A71,4,male_single,A101,2,A123,34,A143,A152,2,A174,1,A192,yes,1,1,0.9165795368925956
A11,12,A34,A40,3499,A61,A73,3,female_divorced_separated_married,A102,2,A121,29,A143,A152,2,A173,1,A191,yes,0,0,0.36631288558801
A12,48,A32,A40,8487,A65,A74,1,female_divorced_separated_married,A101,2,A123,24,A143,A152,1,A173,1,A191,yes,1,1,0.5038850565765373
A11,36,A33,A46,6887,A61,A73,4,male_single,A101,3,A122,29,A142,A152,1,A173,1,A192,yes,0,0,0.13374034145372862
A14,15,A32,A42,2708,A61,A72,2,male_single,A101,3,A122,27,A141,A152,2,A172,1,A191,yes,1,1,0.7889698506496012
A14,18,A32,A42,1984,A61,A73,4,male_single,A101,4,A124,47,A141,A153,2,A173,1,A191,yes,1,1,0.6979014132250165
A14,60,A32,A43,10144,A62,A74,2,female_divorced_separated_married,A101,4,A121,21,A143,A152,1,A173,1,A192,yes,1,1,0.7658363488593073
A14,12,A34,A43,1240,A65,A75,4,female_divorced_separated_married,A101,2,A121,38,A143,A152,2,A173,1,A192,yes,1,1,0.9793861114238325
A14,27,A33,A41,8613,A64,A73,2,male_single,A101,2,A123,27,A143,A152,2,A173,1,A191,yes,1,1,0.9712028978798409
A12,12,A32,A43,766,A63,A73,4,male_single,A101,3,A121,66,A143,A152,1,A172,1,A191,yes,0,1,0.8836265717236984
A12,15,A34,A43,2728,A65,A74,4,male_single,A103,2,A121,35,A141,A152,3,A173,1,A192,yes,1,1,0.9663295177628338
A13,12,A32,A43,1881,A61,A73,2,female_divorced_separated_married,A101,2,A123,44,A143,A151,1,A172,1,A192,yes,1,1,0.8278487827175264
A13,6,A32,A40,709,A64,A72,2,male_married_widowed,A101,2,A121,27,A143,A152,1,A171,1,A191,no,1,1,0.9847537263240937
A12,36,A32,A43,4795,A61,A72,4,female_divorced_separated_married,A101,1,A124,30,A143,A152,1,A174,1,A192,yes,1,0,0.2605612936244591
A11,27,A32,A43,3416,A61,A73,3,male_single,A101,2,A123,27,A143,A152,1,A174,1,A191,yes,1,1,0.5376098237982636
A11,18,A32,A42,2462,A61,A73,2,male_single,A101,2,A123,22,A143,A152,1,A173,1,A191,yes,0,1,0.6457829210461632
A14,21,A34,A42,2288,A61,A72,4,female_divorced_separated_married,A101,4,A122,23,A143,A152,1,A173,1,A192,yes,1,1,0.8789602680883057
A12,48,A31,A49,3566,A62,A74,4,male_single,A101,2,A123,30,A143,A152,1,A173,1,A191,yes,1,0,0.4195542684944061
A11,6,A34,A40,860,A61,A75,1,female_divorced_separated_married,A101,4,A124,39,A143,A152,2,A173,1,A192,yes,1,1,0.7010948669878917
A14,12,A34,A40,682,A62,A74,4,female_divorced_separated_married,A101,3,A123,51,A143,A152,2,A173,1,A192,yes,1,1,0.9526449004638369
A11,36,A34,A42,5371,A61,A73,3,male_single,A103,2,A122,28,A143,A152,2,A173,1,A191,yes,1,1,0.7213270024217981
A14,18,A34,A43,1582,A64,A75,4,male_single,A101,4,A123,46,A143,A152,2,A173,1,A191,yes,1,1,0.9849843008840309
A14,6,A32,A43,1346,A62,A75,2,male_single,A101,4,A124,42,A141,A153,1,A173,2,A192,yes,1,1,0.9360784349430014
A14,10,A32,A43,1924,A61,A73,1,male_single,A101,4,A122,38,A143,A152,1,A173,1,A192,no,1,1,0.9917478711478316
A13,36,A32,A43,5848,A61,A73,4,male_single,A101,1,A123,24,A143,A152,1,A173,1,A191,yes,1,1,0.531097908163741
A12,24,A34,A41,7758,A64,A75,2,female_divorced_separated_married,A101,4,A124,29,A143,A151,1,A173,1,A191,yes,1,1,0.8665139856530135
A12,24,A33,A49,6967,A62,A74,4,male_single,A101,4,A123,36,A143,A151,1,A174,1,A192,yes,1,1,0.7095868170835048
A11,12,A32,A42,1282,A61,A73,2,female_divorced_separated_married,A101,4,A123,20,A143,A151,1,A173,1,A191,yes,0,0,0.4775018306661306
A11,9,A34,A45,1288,A62,A75,3,male_single,A103,4,A121,48,A143,A152,2,A173,2,A191,no,1,1,0.9769362192644426
A11,12,A31,A48,339,A61,A75,4,male_married_widowed,A101,1,A123,45,A141,A152,1,A172,1,A191,yes,1,1,0.5704027956281338
A12,24,A32,A40,3512,A62,A74,2,male_single,A101,3,A123,38,A141,A152,2,A173,1,A192,yes,1,1,0.6229619086072476
A14,6,A34,A43,1898,A65,A73,1,male_single,A101,2,A121,34,A143,A152,2,A172,2,A191,yes,1,1,0.9915224857024729
A14,24,A34,A43,2872,A62,A75,3,male_single,A101,4,A121,36,A143,A152,1,A173,2,A192,yes,1,1,0.9722564621317018
A14,18,A34,A40,1055,A61,A72,4,female_divorced_separated_married,A101,1,A122,30,A143,A152,2,A173,1,A191,yes,1,1,0.7338553692471211
A14,15,A32,A44,1262,A63,A74,4,male_single,A101,3,A122,36,A143,A152,2,A173,1,A192,yes,1,1,0.9413172502358655
A12,10,A32,A40,7308,A61,A71,2,male_single,A101,4,A124,70,A141,A153,1,A174,1,A192,yes,1,0,0.44493594811420656
A14,36,A32,A40,909,A63,A75,4,male_single,A101,4,A122,36,A143,A152,1,A173,1,A191,yes,1,1,0.761525156229396
A14,6,A32,A42,2978,A63,A73,1,male_single,A101,2,A123,32,A143,A152,1,A173,1,A192,yes,1,1,0.9759205390346937
A11,18,A32,A42,1131,A61,A71,4,female_divorced_separated_married,A101,2,A123,33,A143,A152,1,A173,1,A191,yes,0,0,0.4064984631359248
A12,11,A32,A42,1577,A64,A72,4,female_divorced_separated_married,A101,1,A121,20,A143,A152,1,A173,1,A191,yes,1,1,0.8128752372459185
A14,24,A32,A42,3972,A61,A74,2,female_divorced_separated_married,A101,4,A122,25,A143,A151,1,A173,1,A192,yes,1,1,0.863893248396351
A12,24,A34,A49,1935,A61,A75,4,male_divorced_separated,A101,4,A121,31,A143,A152,2,A173,1,A192,yes,0,1,0.6526580460215827
A11,15,A30,A40,950,A61,A75,4,male_single,A101,3,A123,33,A143,A151,2,A173,2,A191,yes,0,0,0.1469561874406607
A14,12,A32,A42,763,A61,A73,4,female_divorced_separated_married,A101,1,A121,26,A143,A152,1,A173,1,A192,yes,1,1,0.8849413163112065
A12,24,A33,A42,2064,A61,A71,3,female_divorced_separated_married,A101,2,A122,34,A143,A152,1,A174,1,A192,yes,0,1,0.6400831455496059
A12,8,A32,A43,1414,A61,A73,4,male_single,A103,2,A121,33,A143,A152,1,A173,1,A191,no,1,1,0.9708121654633561
A11,21,A33,A46,3414,A61,A72,2,male_single,A101,1,A122,26,A143,A152,2,A173,1,A191,yes,0,0,0.36469384141466077
A14,30,A31,A41,7485,A65,A71,4,female_divorced_separated_married,A101,1,A121,53,A141,A152,1,A174,1,A192,yes,0,1,0.8117089120652577
A11,12,A32,A42,2577,A61,A73,2,male_divorced_separated,A101,1,A123,42,A143,A152,1,A173,1,A191,yes,1,1,0.5596199006070519
A11,6,A34,A43,338,A63,A75,4,male_single,A101,4,A123,52,A143,A152,2,A173,1,A191,yes,1,1,0.8939183348054118
A14,12,A32,A43,1963,A61,A74,4,male_single,A101,2,A123,31,A143,A151,2,A174,2,A192,yes,1,1,0.8953289363355287
A11,21,A34,A40,571,A61,A75,4,male_single,A101,4,A121,65,A143,A152,2,A173,1,A191,yes,1,1,0.6924068462799122
A14,36,A33,A49,9572,A61,A72,1,male_divorced_separated,A101,1,A123,28,A143,A152,2,A173,1,A191,yes,0,1,0.5821322431888536
A12,36,A33,A49,4455,A61,A73,2,male_divorced_separated,A101,2,A121,30,A142,A152,2,A174,1,A192,yes,0,0,0.376718884265211
A11,21,A31,A40,1647,A65,A73,4,male_single,A101,2,A122,40,A143,A152,2,A172,2,A191,yes,0,0,0.2881306024966791
A14,24,A34,A42,3777,A64,A73,4,male_single,A101,4,A121,50,A143,A152,1,A173,1,A192,yes,1,1,0.9872327916456646
A12,18,A34,A40,884,A61,A75,4,male_single,A101,4,A123,36,A141,A152,1,A173,2,A192,yes,0,1,0.5686878169808356
A14,15,A34,A43,1360,A61,A73,4,male_single,A101,2,A122,31,A143,A152,2,A173,1,A191,yes,1,1,0.9296862715917319
A12,9,A31,A41,5129,A61,A75,2,female_divorced_separated_married,A101,4,A124,74,A141,A153,1,A174,2,A192,yes,0,1,0.6179959025449471
A12,16,A34,A40,1175,A61,A71,2,male_single,A101,3,A123,68,A143,A153,3,A171,1,A192,yes,1,1,0.8987112420282569
A11,12,A32,A43,674,A62,A74,4,male_married_widowed,A101,1,A122,20,A143,A152,1,A173,1,A191,yes,0,1,0.7093027758570513
A12,18,A30,A42,3244,A61,A73,1,female_divorced_separated_married,A101,4,A123,33,A141,A152,2,A173,1,A192,yes,1,0,0.42055640685695783
A14,24,A32,A49,4591,A64,A73,2,male_single,A101,3,A122,54,A143,A152,3,A174,1,A192,yes,0,1,0.9649144598483176
A12,48,A30,A49,3844,A62,A74,4,male_single,A101,4,A124,34,A143,A153,1,A172,2,A191,yes,0,0,0.34510816817293943
A12,27,A32,A49,3915,A61,A73,4,male_single,A101,2,A123,36,A143,A152,1,A173,2,A192,yes,0,1,0.5172327031767195
A14,6,A32,A43,2108,A61,A74,2,male_married_widowed,A101,2,A121,29,A143,A151,1,A173,1,A191,yes,1,1,0.9444456380972698
A12,45,A32,A43,3031,A62,A73,4,male_single,A103,4,A122,21,A143,A151,1,A173,1,A191,yes,0,1,0.5919822023786777
