applicant_id,gender,ethnicity,age,age_group,disability_status,veteran_status,education_level,application_date,application_month,application_quarter,department,hiring_manager,university_prestige,gpa,degree_relevance,years_experience,career_gap_months,previous_employer_tier,technical_skills_score,communication_skills,leadership_potential,problem_solving,cultural_fit,adaptability_score,technical_interview_score,behavioral_interview_score,case_study_score,panel_interview_score,referral_source,alumni_connection,internal_referral_strength,location_tier,socioeconomic_background,first_generation_college,previous_application_count,previous_rejection_count,previous_salary,self_reported_skills,verified_skills,true_competency_score,y_true,biased_competency_score,y_pred,y_prob,group_gender,group_ethnicity,group_age,group_disability,group_education,group_department,group
21,Female,Black,54,50-54,None,Non-veteran,Associate,2023-07-24,7,Q3-2023,Marketing,Manager_13,Regional,2.810043998926912,High,0,18,Mid-size,34.023657409330575,24.939802612712,70.64225562210127,99.37080381299481,41.837770373258614,60.66413453287001,92.0,78.49805227079332,59.85903228724506,72.4102907463202,LinkedIn,0,None,International,Middle,0,1,1,92031.95390825465,100.0,86.0,70.16425789307593,0,39.00710304409557,0,0.32505919203412975,Female,Black,50-54,None,Associate,Marketing,Female
22,Male,Black,37,35-39,Physical,Non-veteran,Bachelors,2023-03-05,3,Q1-2023,Operations,Manager_17,Top-100,2.804703997077526,High,20,3,Mid-size,75.10302905222848,40.209343376772225,80.00402386796871,83.48105924826812,42.290422508100434,78.06411547097265,64.2899699369318,65.43714548164552,80.73878586904499,58.26454184816286,Direct Application,0,None,Tier-2,Middle,1,1,1,91160.0940528969,76.77866117558399,36.15473616442148,79.14309909514004,1,40.15330623476832,0,0.33461088528973604,Male,Black,35-39,Physical,Bachelors,Operations,Male
23,Male,White,63,60+,None,Non-veteran,Bachelors,2023-12-18,12,Q4-2023,Product,Manager_2,Regional,3.3695907224153006,Medium,2,18,Startup,30.089832021432272,73.61437021441267,31.421761046226067,73.97701110283984,55.54174240115816,72.05237913804751,31.913561592308795,62.01820207901076,62.363231272612445,73.22900041294525,Campus Recruiting,0,None,Tier-1,Lower-middle,1,1,0,38197.94065519467,93.71902392741997,83.97551501217367,54.55981045760067,0,37.76278648919819,0,0.31468988740998494,Male,White,60+,None,Bachelors,Product,Male
24,Male,Black,38,35-39,None,Non-veteran,No Diploma,2023-05-10,5,Q2-2023,Engineering,Manager_7,For-profit,3.546829166179573,Medium,1,0,Mid-size,71.94649635308267,83.76136018497053,78.49106239673485,77.87212783213982,-24.149455445839052,58.58207389285184,100.0,82.52916749370843,100.0,93.86226891654898,Employee Referral,0,None,Tier-2,Lower-middle,0,3,2,,69.16920399653398,48.61112280219041,84.67420592240987,1,69.26144915385395,1,0.5771787429487829,Male,Black,35-39,None,No Diploma,Engineering,Male
25,Male,White,29,25-29,Sensory,Non-veteran,Bachelors,2023-06-27,6,Q2-2023,Engineering,Manager_19,Top-100,3.741867624461454,Medium,6,9,Government,63.214101144323315,72.73610411928539,81.40107823133572,49.604569065877634,21.299384465601733,49.5479653120541,64.21174876423902,100.0,70.5109496725804,97.35362079148064,Career Fair,0,Weak,Tier-2,Upper-middle,0,3,3,,62.66468048469236,81.93139213691552,74.70235635633044,0,49.7297800056221,0,0.4144148333801842,Male,White,25-29,Sensory,Bachelors,Engineering,Male
26,Female,Black,54,50-54,None,Non-veteran,No Diploma,2023-10-23,10,Q4-2023,Finance,Manager_7,Regional,2.879492483766723,Medium,5,17,Unemployed,-10.80476733236101,69.42455171969517,73.72121177935065,93.91795039617435,16.815058842694867,80.9630920323645,49.356342182634144,26.990052605829327,79.99839266554291,62.281422004081364,LinkedIn,0,None,Tier-3,Middle,1,3,3,,41.65377506122397,44.03489134612855,57.927203070711,0,13.113052536620764,0,0.10927543780517303,Female,Black,50-54,None,No Diploma,Finance,Female
27,Male,White,40,35-39,None,Non-veteran,High School,2023-07-29,7,Q3-2023,Finance,Manager_16,Top-20,3.5452603423199305,Irrelevant,0,3,Fortune-500,90.58567230293957,85.04424291610786,52.05472408218575,84.62328341800666,80.00465001730734,71.864909159463,61.4027921974738,47.7382303159939,98.75119391355511,71.71883258603354,LinkedIn,1,None,Tier-2,Middle,0,4,4,,92.32541685730459,91.99677881207754,72.37237663594121,0,71.03823106909465,1,0.5919852589091221,Male,White,35-39,None,High School,Finance,Male
28,Female,White,31,30-34,None,Non-veteran,High School,2023-04-22,4,Q2-2023,Finance,Manager_9,Regional,3.12211930978632,Low,3,16,Unemployed,61.01162385947538,63.46174079285342,52.64838459176709,59.68562288338346,48.89322376967014,75.67984876418558,81.7900098606848,64.51029742105077,51.21204321520777,77.82650794393628,Direct Application,0,Weak,Rural,Middle,0,3,3,,67.40842939563935,44.39257947725497,68.47509457164475,0,56.60721875180869,0,0.47172682293173906,Female,White,30-34,None,High School,Finance,Female
29,Female,Other,28,25-29,None,Non-veteran,Bachelors,2023-04-08,4,Q2-2023,Product,Manager_18,Top-100,2.5410610740663766,High,37,13,Non-profit,43.445367799945714,61.060919844130126,34.409845566377086,87.16455762285939,74.1294416358185,67.43710755523165,92.0,59.5543779099391,67.19248290838387,23.437545234333733,LinkedIn,0,None,International,Middle,1,1,0,,55.09920293582272,43.73648053971039,83.36822932440242,1,60.23230144034788,1,0.5019358453362324,Female,Other,25-29,None,Bachelors,Product,Female
30,Male,White,31,30-34,None,Combat Veteran,Bachelors,2023-07-07,7,Q3-2023,Operations,Manager_6,Community,3.9007958932433366,Low,3,46,Startup,84.40205728156064,56.826865921432585,74.15032838375775,46.637136957244934,23.77761319454911,67.55679168701573,37.81599983629214,100.0,45.99415291355306,96.8180963052042,Direct Application,0,None,Tier-2,Upper-middle,0,2,2,45606.92175162835,54.67467230862616,67.9409099295314,69.23411135007755,0,49.878986955244116,0,0.4156582246270343,Male,White,30-34,None,Bachelors,Operations,Male
31,Non-binary,Hispanic,59,55-59,None,Non-veteran,Bachelors,2023-12-22,12,Q4-2023,Finance,Manager_9,Top-100,3.2991540968535142,Medium,8,2,Startup,7.25518907585095,34.64108185980942,59.399503098335586,71.53506326591383,49.82777440543579,59.90061529288586,105.0,69.41213395793656,65.87294336555999,83.76867093916859,LinkedIn,0,None,Rural,Lower-middle,0,1,1,83647.031131773,35.88827273396202,37.55995997604408,69.48279294340053,0,29.066846390874304,0,0.24222371992395253,Non-binary,Hispanic,55-59,None,Bachelors,Finance,Non-binary
32,Male,White,24,18-24,None,Non-veteran,Bachelors,2023-02-14,2,Q1-2023,HR,Manager_13,Community,3.5737147430563225,Medium,16,1,Government,64.90232945425748,82.08995357177085,47.23348974436643,62.38283670436196,64.97777532529885,48.78408952796116,80.79812938306077,80.52988760641193,63.26496984487563,52.62457299807272,Recruiter,0,Weak,Tier-1,Upper-middle,0,0,0,,71.1344622354828,86.46692819826379,78.6512301195868,1,60.10481304211761,1,0.5008734420176467,Male,White,18-24,None,Bachelors,HR,Male
33,Female,Asian,21,18-24,Multiple,Non-combat Veteran,PhD,2023-07-07,7,Q3-2023,Sales,Manager_6,Top-100,2.979860328532101,Medium,3,17,Mid-size,67.89512722693848,41.736300138153126,24.19575659731629,77.46414220135296,38.80346592676392,76.34886083470971,34.80476734974336,58.60847636805799,85.27722086954876,70.26066183773837,Direct Application,0,Medium,Rural,Low,1,3,0,,100.0,78.51691798368317,54.37969827321983,0,19.743227444108093,0,0.16452689536756746,Female,Asian,18-24,Multiple,PhD,Sales,Female
34,Male,Hispanic,22,18-24,None,Non-veteran,High School,2023-03-16,3,Q1-2023,Operations,Manager_20,Community,2.7359442529726588,High,4,4,Non-profit,48.25976131877073,85.79675540196418,80.82051966897326,63.52678103879845,55.43277836726491,85.88208154234951,29.69505771769719,93.50088373171292,32.81709680427235,77.18139174310045,Campus Recruiting,0,Medium,Tier-2,Middle,1,4,2,20468.667231352978,51.89879587077915,49.62670989406579,65.93446479522282,0,40.9960328372119,0,0.3416336069767658,Male,Hispanic,18-24,None,High School,Operations,Male
35,Male,White,23,18-24,None,Non-veteran,High School,2023-12-19,12,Q4-2023,Engineering,Manager_13,Regional,3.523003525028637,Medium,1,0,Unemployed,21.626594388374727,65.4933303522025,75.77419087054555,54.944754361151425,75.90526561680686,53.165515159352566,93.94026398491272,50.55959631075538,100.0,42.672382000871295,Campus Recruiting,0,None,Tier-1,High,0,0,0,,79.56403213875721,77.29992544532116,65.96907491038833,0,62.99983594081503,1,0.5249986328401253,Male,White,18-24,None,High School,Engineering,Male
36,Female,Asian,33,30-34,Cognitive,Prefer not to say,Bachelors,2023-07-25,7,Q3-2023,Sales,Manager_3,Regional,3.549423672876456,Medium,8,23,Startup,93.0,68.06090325802697,35.46052807378353,88.07178904891381,65.0,77.60022444450198,60.33414222027129,55.7247244722021,24.504097714649085,71.96871875490478,Agency,0,None,Tier-1,Lower-middle,0,4,4,97310.08931763942,66.2535222692092,53.145243692853846,74.48896159619558,0,45.52679926444256,0,0.37938999387035466,Female,Asian,30-34,Cognitive,Bachelors,Sales,Female
37,Male,White,60,55-59,Cognitive,Non-combat Veteran,High School,2023-06-03,6,Q2-2023,Sales,Manager_11,Top-100,2.841101500010154,Medium,10,0,Mid-size,33.428467918976395,77.0333247996794,29.088206782151516,77.0159244491138,56.91678333133942,63.77823303048463,52.052905081149795,65.25283898298802,75.16363224512973,54.229750694646725,Recruiter,0,None,Tier-3,Lower-middle,1,1,1,,26.502971004963456,0.0,60.93813621732423,0,29.481127612506384,0,0.2456760634375532,Male,White,55-59,Cognitive,High School,Sales,Male
38,Female,White,32,30-34,None,Combat Veteran,High School,2023-07-15,7,Q3-2023,Engineering,Manager_10,Regional,3.7659747966419994,High,29,14,Tech-Giant,25.720457643792898,82.38637221552955,70.25650067638361,77.65923001778285,102.0,62.56849723808835,86.76184634792924,101.95770582836775,83.98054297661668,92.03143087759989,Employee Referral,0,Weak,Tier-2,High,0,0,0,,100.0,82.04515246705903,92.89235902010908,1,76.01239570440721,1,0.6334366308700601,Female,White,30-34,None,High School,Engineering,Female
39,Female,Asian,41,40-44,None,Non-veteran,Masters,2023-10-03,10,Q4-2023,Engineering,Manager_18,Regional,2.72702776087855,Medium,1,17,Non-profit,33.3693000778713,50.57892482689044,21.22946974367605,78.43913378763125,62.71078785958436,100.0,93.82228877792923,65.69358603506264,54.09706170510744,64.3839088391052,Direct Application,0,Weak,Tier-2,Middle,0,0,0,95625.47599546504,70.31908443998765,42.91755795385628,64.9753761062861,0,55.14396015763729,0,0.45953300131364405,Female,Asian,40-44,None,Masters,Engineering,Female
40,Female,White,18,nan,Physical,Non-veteran,Bachelors,2023-03-24,3,Q1-2023,Sales,Manager_5,International,2.1951832032013616,Medium,2,13,Mid-size,52.32655855265719,46.563439643809716,59.53324526377985,29.773211216160924,38.8699547776941,80.69690770591133,70.96302684811361,59.239492212588274,63.679676205939,64.9997768761957,Employee Referral,1,None,Tier-3,Lower-middle,1,0,0,41404.428609390896,77.86521849309517,54.799905662153805,53.45360442379548,0,38.31654073506888,0,0.319304506125574,Female,White,nan,Physical,Bachelors,Sales,Female
41,Non-binary,Asian,42,40-44,None,Non-veteran,Bachelors,2023-05-18,5,Q2-2023,Operations,Manager_11,Top-100,3.602770548655098,Medium,11,3,Startup,38.997098664752194,60.29666313991687,58.463954798765116,75.1327077640214,59.804642395103855,54.73577455599308,61.62038360160503,72.65599121711405,66.04568688347923,97.44298655027008,Direct Application,0,None,Rural,Low,0,1,0,44491.13051172302,69.72232657476738,60.791507844875504,70.01031930396482,0,37.66527181187712,0,0.313877265098976,Non-binary,Asian,40-44,None,Bachelors,Operations,Non-binary
42,Female,Black,18,nan,None,Non-combat Veteran,Associate,2023-11-24,11,Q4-2023,Marketing,Manager_12,Regional,3.956806102510875,High,29,13,Tech-Giant,59.61888571485025,76.67480270109874,90.0,87.92410951473495,94.04607212096334,72.50210988921116,87.55855022461834,51.552817133401476,57.79830216160142,71.6953072070261,Direct Application,0,None,Tier-1,High,0,2,2,84177.56450100546,68.89487155336207,66.87768041355035,96.5138230737889,1,57.67813230703467,0,0.48065110255862226,Female,Black,nan,None,Associate,Marketing,Female
43,Male,White,52,50-54,None,Non-veteran,Bachelors,2023-05-22,5,Q2-2023,Sales,Manager_2,For-profit,3.1122478678425405,Medium,12,12,Startup,85.0,64.23499338963234,57.04903797649449,55.72422358158367,58.2344804894139,74.96463029604632,88.76276242303595,69.31856104277291,72.34428198633698,67.39970526643823,Career Fair,1,Strong,Tier-1,Middle,0,2,0,66079.07700184401,86.83047792252884,78.82186227429433,77.87999787169957,1,62.13596630866569,1,0.5177997192388807,Male,White,50-54,None,Bachelors,Sales,Male
44,Male,White,63,60+,None,Non-veteran,Bachelors,2023-07-04,7,Q3-2023,Engineering,Manager_6,Ivy League,3.302477920636111,Medium,13,2,Non-profit,80.48842755994637,78.25648995553439,60.37586435375394,84.5957359550282,97.63245237852017,58.13753345269099,93.24511138952734,71.23561549360262,64.97771341737692,89.16722361845582,Agency,1,None,Tier-3,Lower-middle,0,3,2,105576.2851474403,54.96133674336194,57.021254709462845,85.547376152047,1,84.58628470019589,1,0.7048857058349658,Male,White,60+,None,Bachelors,Engineering,Male
45,Male,Mixed,56,55-59,None,Non-veteran,High School,2023-05-09,5,Q2-2023,HR,Manager_10,Top-100,3.231784172265939,Medium,12,12,Government,85.0,71.35681048802421,79.36355437085601,56.45134437171353,78.02249816316895,62.66826907740213,74.42759753777223,61.191548057903816,79.94562542193484,67.93854608472137,Direct Application,0,Strong,Tier-1,Middle,0,1,0,95662.27760790283,81.16612226807472,81.58195547300069,77.07610922741823,1,62.23951319958795,1,0.5186626099965662,Male,Mixed,55-59,None,High School,HR,Male
46,Female,White,54,50-54,None,Non-veteran,Associate,2023-07-28,7,Q3-2023,HR,Manager_1,Regional,2.380796729950615,Irrelevant,7,12,Non-profit,21.901844614617616,64.9705779964887,46.523789855514224,63.447541459015675,17.582878884768007,64.03449158327935,62.292313567693,76.11348631054982,100.0,56.20519781043352,Recruiter,0,Medium,Tier-1,Middle,1,3,2,85004.77936293039,53.741620223630534,47.4722737985915,58.11536798910763,0,33.281512473256335,0,0.27734593727713613,Female,White,50-54,None,Associate,HR,Female
47,Non-binary,White,19,18-24,None,Non-combat Veteran,High School,2023-09-27,9,Q3-2023,Engineering,Manager_18,Regional,2.8285475947796415,Medium,1,0,Tech-Giant,45.70968741312005,41.916423645296085,81.30793915826919,57.166497728471825,80.0,81.79163384529792,60.28013849818134,112.24842336302014,100.0,95.88261076346983,Employee Referral,0,None,Tier-1,Middle,0,1,1,69051.74384952316,100.0,75.9231880784738,67.44487702906011,0,60.2241408372829,1,0.5018678403106909,Non-binary,White,18-24,None,High School,Engineering,Non-binary
48,Female,Hispanic,30,25-29,None,Non-veteran,PhD,2023-04-11,4,Q2-2023,Finance,Manager_20,Top-100,3.450309217381146,Medium,9,17,Unemployed,46.933788871826366,32.04592183159394,19.043935341166012,65.82634996015737,103.46570876258741,43.74770190739768,63.86535012292839,68.69613443027637,77.65269452874657,71.67273444348129,Direct Application,0,Strong,Rural,Middle,1,8,8,,78.42348971086683,76.38241409165329,57.779190787311734,0,43.058273280111635,0,0.3588189440009303,Female,Hispanic,25-29,None,PhD,Finance,Female
49,Male,White,20,18-24,None,Non-veteran,Associate,2023-04-02,4,Q2-2023,Sales,Manager_19,Regional,3.658630911588654,Low,24,17,Tech-Giant,65.13764835119639,93.86196413265347,38.577287154735686,51.49122946531013,69.38375038757881,56.6189187294489,73.10182760609007,83.17781762993556,59.216231541079395,58.90389423895593,Employee Referral,0,None,Tier-2,Low,0,3,1,57895.97705367883,100.0,83.74869450045085,80.66114015827387,1,67.25016603089567,1,0.5604180502574639,Male,White,18-24,None,Associate,Sales,Male
50,Female,White,50,45-49,Physical,Non-combat Veteran,Bachelors,2023-06-01,6,Q2-2023,Sales,Manager_10,Top-100,3.0476986864486446,Low,22,29,Startup,70.08976909603027,66.04043714679212,43.835868695399014,62.98769626706877,1.0000757569429197,79.17315428605649,82.75746418362377,68.92775962438408,72.80539921189667,63.81236508915309,Employee Referral,0,None,International,Middle,1,1,0,,92.30986172898176,78.11012847790133,79.47308705551502,1,47.1398672788458,0,0.392832227323715,Female,White,45-49,Physical,Bachelors,Sales,Female
