group,race,neighborhood,time_of_day,vehicle_type,prior_stops,y_true,y_pred,y_prob
White_Low_Income,White,Low_Income,Night,Sedan,2,0,0,0.47500060168141467
Black_Mixed,Black,Mixed,Day,Luxury,4,0,0,0.4366065843534502
Black_Mixed,Black,Mixed,Day,SUV,2,0,0,0.42412910693295386
Black_Affluent,Black,Affluent,Night,Sedan,0,0,0,0.18901754913992727
White_Low_Income,White,Low_Income,Day,SUV,2,0,0,0.35399321377482595
White_Low_Income,White,Low_Income,Night,SUV,2,1,1,0.618319689088754
Black_Mixed,Black,Mixed,Day,SUV,1,0,0,0.26874306795788827
Black_Low_Income,Black,Low_Income,Day,Sedan,0,1,1,0.8705691235623936
White_Affluent,White,Affluent,Night,SUV,5,0,0,0.3180415709999914
Black_Affluent,Black,Affluent,Day,SUV,3,0,0,0.18428847444265012
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,2,0,0,0.41681060452948426
White_Low_Income,White,Low_Income,Night,SUV,3,0,0,0.48277673717312997
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.19621126490652954
Black_Mixed,Black,Mixed,Night,Sedan,0,1,1,0.5510277438189624
Black_Mixed,Black,Mixed,Night,SUV,1,1,1,0.5207173808251966
White_Affluent,White,Affluent,Day,Sedan,1,0,0,0.0979207176003192
Black_Mixed,Black,Mixed,Day,Sedan,1,0,0,0.451740343811349
White_Low_Income,White,Low_Income,Night,Luxury,2,0,0,0.4709271335687741
White_Mixed,White,Mixed,Night,Sedan,2,1,1,0.509996672810677
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,3,0,0,0.3925942206887796
Black_Mixed,Black,Mixed,Day,Sedan,4,1,1,0.6314129171116123
Black_Mixed,Black,Mixed,Day,Sedan,1,0,0,0.40013031031592283
White_Mixed,White,Mixed,Day,Sedan,1,0,0,0.45051269141453565
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,5,1,1,0.5465305003570254
Black_Low_Income,Black,Low_Income,Night,SUV,1,1,1,0.7272924761839663
Black_Low_Income,Black,Low_Income,Night,Luxury,4,1,1,0.831879983104441
White_Mixed,White,Mixed,Night,Sedan,1,1,1,0.5823534558584789
Black_Affluent,Black,Affluent,Day,Sedan,2,0,0,0.25471628542591973
White_Affluent,White,Affluent,Day,Sedan,3,0,0,0.2014661362685268
Hispanic_Affluent,Hispanic,Affluent,Day,Luxury,1,0,0,0.14474419952938697
White_Low_Income,White,Low_Income,Day,SUV,1,0,0,0.4207490816840283
White_Mixed,White,Mixed,Night,SUV,1,0,0,0.4920857495463579
Black_Affluent,Black,Affluent,Day,SUV,3,0,0,0.21104853227020626
White_Mixed,White,Mixed,Night,SUV,3,0,0,0.3941155410247116
Black_Affluent,Black,Affluent,Day,Sedan,0,0,0,0.19181542832743254
Black_Low_Income,Black,Low_Income,Night,SUV,1,1,1,0.9069724602766771
White_Low_Income,White,Low_Income,Day,SUV,3,1,1,0.7445482632268621
Black_Low_Income,Black,Low_Income,Night,Sedan,1,1,1,0.9076394800924503
White_Low_Income,White,Low_Income,Night,SUV,1,1,1,0.6722498393352703
Hispanic_Mixed,Hispanic,Mixed,Night,Sedan,1,1,1,0.8191479006102409
White_Mixed,White,Mixed,Day,SUV,5,0,0,0.47179268320736045
Black_Mixed,Black,Mixed,Day,SUV,1,1,1,0.5213515127949204
Black_Affluent,Black,Affluent,Day,Sedan,2,0,0,0.3618813622543196
White_Low_Income,White,Low_Income,Day,Sedan,4,1,1,0.6484329775749165
Black_Mixed,Black,Mixed,Night,Sedan,1,1,1,0.5070019171688711
White_Affluent,White,Affluent,Day,SUV,1,0,0,0.09321604666133113
White_Mixed,White,Mixed,Night,Sedan,4,1,1,0.5954859949746891
White_Mixed,White,Mixed,Day,SUV,2,1,1,0.5224039255477798
White_Affluent,White,Affluent,Night,Sedan,0,0,0,0.17286576918241162
Black_Affluent,Black,Affluent,Day,SUV,1,0,0,0.33520856955723477
White_Affluent,White,Affluent,Night,Sedan,3,0,0,0.24762194360805997
Hispanic_Affluent,Hispanic,Affluent,Day,Luxury,1,0,0,0.1876208593250432
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,5,1,1,0.7447994242763109
Black_Affluent,Black,Affluent,Day,Luxury,1,0,0,0.2566426317756848
Hispanic_Affluent,Hispanic,Affluent,Day,SUV,2,0,0,0.1438495212184224
Black_Affluent,Black,Affluent,Day,SUV,3,0,0,0.2325292976512543
Black_Mixed,Black,Mixed,Night,Sedan,1,0,0,0.32883648977600977
Black_Mixed,Black,Mixed,Day,SUV,2,1,1,0.7103820973456672
Black_Low_Income,Black,Low_Income,Day,Sedan,0,0,0,0.646231752716069
White_Low_Income,White,Low_Income,Day,Sedan,3,1,1,0.6086237239657996
White_Affluent,White,Affluent,Night,Sedan,0,0,0,0.3224924965461705
Black_Affluent,Black,Affluent,Night,SUV,4,0,0,0.36930724386626534
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,1,1,1,0.5167898048027392
Hispanic_Affluent,Hispanic,Affluent,Day,Sedan,4,0,0,0.33467499878923224
Black_Affluent,Black,Affluent,Day,Sedan,2,0,0,0.3151267088928297
White_Mixed,White,Mixed,Night,Sedan,4,0,0,0.39232330459431664
Black_Affluent,Black,Affluent,Day,Luxury,0,0,0,0.0497319894435993
Black_Mixed,Black,Mixed,Day,Luxury,3,0,0,0.43102685030441007
White_Mixed,White,Mixed,Day,Sedan,2,1,1,0.6064492095187841
White_Mixed,White,Mixed,Night,Luxury,1,0,0,0.4461783079067813
White_Low_Income,White,Low_Income,Night,SUV,2,1,1,0.6625460327437614
Black_Mixed,Black,Mixed,Day,Sedan,2,0,0,0.47849476580616923
White_Affluent,White,Affluent,Day,Sedan,3,0,0,0.20315521978273807
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,0,1,1,0.5440374836834156
White_Affluent,White,Affluent,Day,Sedan,3,0,0,0.3637854647596598
Black_Low_Income,Black,Low_Income,Night,SUV,2,0,0,0.6990173188218622
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,4,0,0,0.32013538420784216
White_Affluent,White,Affluent,Day,Sedan,3,0,0,0.1003538855095499
White_Mixed,White,Mixed,Day,SUV,3,0,0,0.3795037701917281
White_Low_Income,White,Low_Income,Night,Sedan,2,0,0,0.49878363626274563
White_Affluent,White,Affluent,Day,Sedan,5,0,0,0.3412966135658245
Black_Low_Income,Black,Low_Income,Night,Sedan,3,1,1,0.7854511380352096
White_Affluent,White,Affluent,Day,SUV,6,0,0,0.3262505801172282
White_Mixed,White,Mixed,Day,Luxury,2,0,0,0.40974608154583075
White_Affluent,White,Affluent,Day,SUV,0,0,0,0.17955761173752136
White_Affluent,White,Affluent,Day,SUV,0,0,0,0.1213737091906314
Black_Low_Income,Black,Low_Income,Night,Sedan,4,1,1,0.8488589367330499
Black_Affluent,Black,Affluent,Night,SUV,0,0,0,0.35337854091083737
White_Low_Income,White,Low_Income,Day,SUV,2,1,1,0.8615092608302334
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,2,0,0,0.44512315186983614
Black_Mixed,Black,Mixed,Day,Sedan,0,0,0,0.22078299626571898
White_Affluent,White,Affluent,Day,Sedan,3,0,0,0.3091643319965266
White_Affluent,White,Affluent,Night,Sedan,2,0,0,0.2142479015563731
Black_Low_Income,Black,Low_Income,Day,SUV,2,0,0,0.6972602144569743
Black_Mixed,Black,Mixed,Night,SUV,0,1,1,0.5333902506128235
White_Affluent,White,Affluent,Night,Sedan,0,0,0,0.1665260802753649
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,3,1,1,0.5896826517598596
White_Low_Income,White,Low_Income,Day,SUV,3,1,1,0.622668930908496
Black_Mixed,Black,Mixed,Night,Sedan,4,1,1,0.6112530092215585
White_Mixed,White,Mixed,Night,Sedan,2,0,0,0.42255597346656426
Black_Low_Income,Black,Low_Income,Day,Sedan,2,1,1,0.7367465864544092
White_Mixed,White,Mixed,Night,SUV,1,1,1,0.5203475232799448
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,2,0,0,0.4565956065161252
Black_Affluent,Black,Affluent,Day,SUV,1,0,0,0.3459274284890344
White_Affluent,White,Affluent,Night,Sedan,2,0,0,0.26095075425675707
White_Low_Income,White,Low_Income,Night,Sedan,3,1,1,0.7387861553029326
White_Mixed,White,Mixed,Night,SUV,0,0,0,0.3636091441605497
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,1,1,1,0.5212325453647086
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,1,0,0,0.4113802928691751
White_Mixed,White,Mixed,Day,Sedan,2,0,0,0.12208817491100865
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,1,0,0,0.2994567147735307
White_Low_Income,White,Low_Income,Day,SUV,2,1,1,0.6405123114542443
Hispanic_Affluent,Hispanic,Affluent,Day,Luxury,6,0,0,0.19206239131246583
White_Affluent,White,Affluent,Day,SUV,1,0,0,0.24048816370600593
Hispanic_Affluent,Hispanic,Affluent,Day,Sedan,1,0,0,0.03524680367283642
White_Affluent,White,Affluent,Day,SUV,3,0,0,0.2004368738678697
Black_Low_Income,Black,Low_Income,Day,Sedan,1,0,0,0.6993769719735478
White_Mixed,White,Mixed,Day,Luxury,4,1,1,0.6012880109914107
Black_Affluent,Black,Affluent,Night,Sedan,2,0,0,0.31690905005821535
White_Low_Income,White,Low_Income,Day,SUV,1,0,0,0.4987483772250641
White_Affluent,White,Affluent,Night,Sedan,1,0,0,0.2624698245934759
Black_Affluent,Black,Affluent,Day,Sedan,2,0,0,0.2867523740457975
White_Mixed,White,Mixed,Day,SUV,2,0,0,0.306116859023359
White_Mixed,White,Mixed,Day,Sedan,1,0,0,0.2942319756054536
White_Mixed,White,Mixed,Night,Sedan,2,0,0,0.35004196703084933
White_Mixed,White,Mixed,Night,Sedan,3,1,1,0.5725164961551731
Black_Affluent,Black,Affluent,Day,Sedan,2,0,0,0.1702652936562405
White_Low_Income,White,Low_Income,Night,SUV,0,1,1,0.6435075750458804
White_Mixed,White,Mixed,Night,Sedan,7,1,1,0.6304116241676702
White_Low_Income,White,Low_Income,Day,Sedan,3,1,1,0.5660328332419213
White_Mixed,White,Mixed,Night,SUV,4,1,1,0.5912540048015198
Hispanic_Mixed,Hispanic,Mixed,Night,Sedan,0,0,0,0.5963129229466755
Black_Low_Income,Black,Low_Income,Night,SUV,3,1,1,0.8787188415968354
White_Low_Income,White,Low_Income,Night,Sedan,1,1,1,0.6865558067392298
Black_Mixed,Black,Mixed,Day,Luxury,1,0,0,0.33801607049729654
Black_Mixed,Black,Mixed,Night,SUV,3,1,1,0.573200451203747
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,2,0,0,0.4881754271160683
White_Affluent,White,Affluent,Day,SUV,1,0,0,0.0
White_Mixed,White,Mixed,Night,Sedan,3,1,1,0.5456214146236457
Black_Low_Income,Black,Low_Income,Day,SUV,2,0,1,0.6700775830923269
White_Low_Income,White,Low_Income,Night,SUV,3,1,1,0.5775265638399667
Hispanic_Mixed,Hispanic,Mixed,Night,SUV,4,1,1,0.7441387740235748
White_Mixed,White,Mixed,Night,SUV,2,1,1,0.5258165830179268
White_Affluent,White,Affluent,Day,Sedan,1,1,1,0.4617862400346445
Black_Mixed,Black,Mixed,Night,Sedan,1,1,1,0.577096777530794
White_Affluent,White,Affluent,Day,SUV,2,0,0,0.04132833293205826
White_Mixed,White,Mixed,Night,Sedan,4,1,1,0.6165769263731739
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,3,1,1,0.5203521512292929
Hispanic_Affluent,Hispanic,Affluent,Night,SUV,2,0,0,0.427928718843683
White_Low_Income,White,Low_Income,Day,Sedan,3,1,1,0.5083800714072684
Black_Low_Income,Black,Low_Income,Night,Sedan,2,0,0,0.6760676719717107
White_Mixed,White,Mixed,Day,SUV,4,0,0,0.37167388180907546
Black_Mixed,Black,Mixed,Night,Luxury,1,1,1,0.5441947797732112
White_Mixed,White,Mixed,Day,SUV,2,0,0,0.4219003438591618
White_Mixed,White,Mixed,Day,Sedan,2,0,0,0.349870334892654
Black_Affluent,Black,Affluent,Night,Sedan,2,0,0,0.3008082366660635
White_Low_Income,White,Low_Income,Day,SUV,2,1,1,0.5334918496983092
White_Affluent,White,Affluent,Day,Sedan,1,0,0,0.18807106782752378
White_Affluent,White,Affluent,Night,Sedan,1,1,1,0.44362579067954944
Black_Mixed,Black,Mixed,Day,SUV,1,0,0,0.29705372425436477
White_Mixed,White,Mixed,Night,Sedan,2,1,1,0.6938500860871901
White_Low_Income,White,Low_Income,Day,Sedan,0,1,1,0.5440110942115309
Black_Affluent,Black,Affluent,Day,Luxury,1,0,0,0.2619712720595751
White_Low_Income,White,Low_Income,Day,Sedan,1,1,1,0.5890516820101054
White_Mixed,White,Mixed,Day,Luxury,2,0,0,0.36717804311330515
White_Affluent,White,Affluent,Night,Luxury,3,0,0,0.3651274177556547
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,0,0,0,0.43619973810325696
White_Affluent,White,Affluent,Day,Sedan,1,0,0,0.03849759481719331
White_Mixed,White,Mixed,Day,Sedan,0,0,0,0.34228105828184374
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,0,0,0,0.46884673367779545
White_Low_Income,White,Low_Income,Day,Sedan,1,1,1,0.583125665103738
Hispanic_Low_Income,Hispanic,Low_Income,Night,Sedan,3,1,1,0.8451979873197786
White_Mixed,White,Mixed,Night,Sedan,2,0,0,0.40792560518592813
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,3,0,0,0.4691782160557783
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,1,1,1,0.5538487489587826
White_Low_Income,White,Low_Income,Day,Sedan,1,0,0,0.47853723885738336
