AGEP,SCHL,MAR,SEX,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,PINCP,ESR,ST,FER,RAC1P,PUBCOV
48.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,9000.0,6.0,53.0,0.0,2.0,True
59.0,23.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,7900.0,6.0,53.0,0.0,1.0,True
20.0,18.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,14000.0,4.0,53.0,0.0,9.0,False
19.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2500.0,6.0,53.0,0.0,1.0,False
20.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,7700.0,6.0,53.0,0.0,1.0,False
29.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,280.0,6.0,53.0,2.0,1.0,True
28.0,17.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,53.0,0.0,1.0,True
26.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,23000.0,4.0,53.0,0.0,2.0,False
18.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1500.0,6.0,53.0,0.0,1.0,False
21.0,18.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,21000.0,4.0,53.0,0.0,1.0,False
18.0,18.0,5.0,1.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,100.0,6.0,53.0,0.0,6.0,False
25.0,20.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,9900.0,6.0,53.0,0.0,1.0,False
61.0,16.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,12300.0,6.0,53.0,0.0,1.0,True
54.0,18.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,9000.0,6.0,53.0,0.0,1.0,True
22.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,400.0,3.0,53.0,0.0,1.0,False
47.0,19.0,3.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,53.0,2.0,1.0,True
34.0,19.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,21600.0,6.0,53.0,2.0,1.0,True
32.0,14.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,24000.0,6.0,53.0,0.0,1.0,True
38.0,19.0,4.0,1.0,2.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,True
21.0,19.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,22000.0,1.0,53.0,2.0,1.0,False
31.0,20.0,5.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,26000.0,4.0,53.0,2.0,1.0,False
52.0,21.0,4.0,2.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,10.0,6.0,53.0,0.0,2.0,True
36.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,2.0,5.0,False
22.0,19.0,5.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,5000.0,1.0,53.0,0.0,2.0,False
30.0,17.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,False
21.0,16.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,10000.0,1.0,53.0,0.0,2.0,True
38.0,20.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,2.0,9.0,False
19.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,18500.0,4.0,53.0,0.0,1.0,False
23.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,27000.0,4.0,53.0,0.0,6.0,False
19.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,5000.0,6.0,53.0,2.0,1.0,False
23.0,21.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,False
19.0,19.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2200.0,6.0,53.0,2.0,1.0,False
30.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,True
20.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,20800.0,6.0,53.0,0.0,1.0,False
19.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3000.0,6.0,53.0,0.0,6.0,False
26.0,18.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,30000.0,4.0,53.0,0.0,1.0,False
21.0,17.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,280.0,6.0,53.0,0.0,1.0,True
19.0,16.0,5.0,2.0,2.0,0.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,6.0,53.0,2.0,6.0,False
64.0,20.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,9400.0,6.0,53.0,0.0,1.0,True
57.0,21.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,25700.0,6.0,53.0,0.0,1.0,True
48.0,17.0,1.0,1.0,2.0,0.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,24000.0,6.0,53.0,0.0,2.0,True
19.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,False
20.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,False
41.0,12.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,200.0,6.0,53.0,0.0,1.0,True
54.0,18.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,7500.0,6.0,53.0,0.0,1.0,True
21.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,12000.0,1.0,53.0,0.0,1.0,False
42.0,20.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2400.0,6.0,53.0,0.0,9.0,True
36.0,14.0,3.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,21700.0,6.0,53.0,2.0,9.0,True
22.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,20000.0,4.0,53.0,0.0,1.0,False
20.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,7700.0,6.0,53.0,0.0,1.0,False
57.0,17.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,9000.0,6.0,53.0,0.0,3.0,True
18.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,22000.0,6.0,53.0,2.0,1.0,False
55.0,20.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3000.0,6.0,53.0,0.0,1.0,True
59.0,14.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,11600.0,6.0,53.0,0.0,8.0,True
54.0,18.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,9000.0,6.0,53.0,0.0,1.0,True
24.0,11.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2480.0,6.0,53.0,0.0,1.0,True
19.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,10000.0,3.0,53.0,0.0,2.0,False
60.0,21.0,3.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,12000.0,6.0,53.0,0.0,1.0,True
33.0,18.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,3500.0,6.0,53.0,0.0,9.0,True
21.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,500.0,1.0,53.0,0.0,8.0,False
32.0,9.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,5500.0,3.0,53.0,0.0,8.0,False
21.0,14.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,9000.0,6.0,53.0,0.0,1.0,True
57.0,19.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,9000.0,6.0,53.0,0.0,1.0,True
23.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,2.0,9.0,False
54.0,18.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,9000.0,6.0,53.0,0.0,1.0,True
20.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,15000.0,4.0,53.0,0.0,2.0,False
18.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4500.0,6.0,53.0,0.0,1.0,False
26.0,18.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,30000.0,4.0,53.0,0.0,1.0,False
50.0,17.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1400.0,6.0,53.0,0.0,1.0,False
19.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,600.0,6.0,53.0,2.0,1.0,False
18.0,20.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,7000.0,1.0,53.0,2.0,1.0,False
30.0,16.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,2.0,1.0,True
35.0,18.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,12900.0,6.0,53.0,0.0,2.0,True
17.0,14.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,8.0,False
37.0,16.0,5.0,1.0,2.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,400.0,6.0,53.0,0.0,1.0,True
20.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,30000.0,4.0,53.0,2.0,1.0,False
21.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,18500.0,4.0,53.0,0.0,6.0,False
19.0,19.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,4000.0,6.0,53.0,0.0,6.0,False
48.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,9000.0,6.0,53.0,0.0,2.0,True
21.0,19.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1700.0,1.0,53.0,0.0,8.0,False
44.0,20.0,1.0,2.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,12000.0,3.0,53.0,2.0,9.0,False
41.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,True
19.0,16.0,5.0,2.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1800.0,6.0,53.0,2.0,6.0,False
18.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,2800.0,6.0,53.0,0.0,1.0,False
47.0,15.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,9500.0,6.0,53.0,2.0,9.0,True
56.0,19.0,3.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1500.0,1.0,53.0,0.0,2.0,True
19.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,5000.0,6.0,53.0,0.0,1.0,False
18.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,9000.0,6.0,53.0,2.0,1.0,False
60.0,18.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,7900.0,6.0,53.0,0.0,1.0,True
34.0,19.0,4.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1200.0,6.0,53.0,0.0,1.0,True
21.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,550.0,3.0,53.0,2.0,8.0,False
62.0,21.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,13000.0,6.0,53.0,0.0,1.0,True
18.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4000.0,6.0,53.0,2.0,9.0,False
20.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,3000.0,3.0,53.0,2.0,1.0,False
39.0,17.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,False
47.0,16.0,4.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,23500.0,1.0,53.0,2.0,5.0,True
41.0,15.0,3.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,17500.0,6.0,53.0,2.0,8.0,True
23.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,27000.0,4.0,53.0,0.0,6.0,False
40.0,16.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,2.0,False
32.0,21.0,5.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,22000.0,4.0,53.0,2.0,2.0,False
22.0,21.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,24000.0,4.0,53.0,0.0,1.0,False
26.0,18.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,30000.0,4.0,53.0,0.0,1.0,False
20.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,6040.0,1.0,53.0,0.0,1.0,False
41.0,19.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,2.0,2.0,True
20.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,4000.0,1.0,53.0,0.0,1.0,False
18.0,20.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2000.0,1.0,53.0,2.0,1.0,False
20.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,3000.0,3.0,53.0,2.0,1.0,False
19.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,290.0,3.0,53.0,0.0,1.0,False
20.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2500.0,6.0,53.0,0.0,1.0,False
64.0,22.0,3.0,1.0,1.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,8000.0,6.0,53.0,0.0,6.0,True
18.0,16.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,6000.0,6.0,53.0,2.0,1.0,False
19.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,25000.0,4.0,53.0,0.0,1.0,False
18.0,20.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2000.0,3.0,53.0,2.0,9.0,False
22.0,16.0,5.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,25000.0,4.0,53.0,2.0,1.0,False
19.0,18.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,11200.0,1.0,53.0,2.0,7.0,False
18.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,2.0,6.0,False
20.0,16.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,730.0,6.0,53.0,2.0,1.0,False
60.0,18.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,8400.0,6.0,53.0,0.0,2.0,True
40.0,12.0,3.0,2.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,2.0,1.0,True
47.0,20.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,0.0,6.0,53.0,0.0,1.0,True
19.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,3900.0,6.0,53.0,0.0,1.0,False
18.0,18.0,5.0,2.0,2.0,0.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,8000.0,3.0,53.0,2.0,1.0,False
22.0,14.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,True
17.0,13.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,True
56.0,12.0,1.0,2.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,7900.0,6.0,53.0,0.0,1.0,True
21.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,7400.0,1.0,53.0,0.0,2.0,False
57.0,21.0,3.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2400.0,6.0,53.0,0.0,1.0,True
24.0,20.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4000.0,6.0,53.0,2.0,1.0,False
19.0,19.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,3700.0,6.0,53.0,2.0,1.0,False
16.0,12.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,9000.0,1.0,53.0,0.0,1.0,False
21.0,21.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,6.0,False
19.0,18.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,11200.0,1.0,53.0,2.0,7.0,False
18.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,53.0,0.0,9.0,False
18.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,870.0,6.0,53.0,0.0,1.0,False
21.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,7400.0,1.0,53.0,0.0,2.0,False
47.0,20.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,0.0,6.0,53.0,0.0,1.0,True
19.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3200.0,6.0,53.0,2.0,1.0,False
19.0,20.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,True
60.0,18.0,1.0,2.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,30000.0,1.0,53.0,0.0,1.0,False
56.0,16.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,9.0,True
46.0,16.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,12300.0,6.0,53.0,0.0,1.0,True
19.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,19000.0,4.0,53.0,0.0,8.0,False
19.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,4200.0,3.0,53.0,2.0,1.0,False
56.0,19.0,3.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1500.0,1.0,53.0,0.0,2.0,True
39.0,19.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,20000.0,6.0,53.0,0.0,1.0,True
18.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2000.0,1.0,53.0,0.0,1.0,False
18.0,20.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,30.0,6.0,53.0,2.0,1.0,False
20.0,18.0,5.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,20000.0,4.0,53.0,0.0,1.0,False
42.0,20.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,700.0,6.0,53.0,0.0,2.0,True
26.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,80.0,6.0,53.0,0.0,9.0,True
50.0,20.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,12700.0,6.0,53.0,0.0,9.0,True
27.0,13.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,True
36.0,20.0,1.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,53.0,2.0,1.0,False
30.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,True
62.0,14.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,0.0,6.0,53.0,0.0,1.0,True
49.0,16.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,22000.0,6.0,53.0,0.0,1.0,True
52.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,53.0,0.0,1.0,True
