is_promoted,predicted_is_promoted,predicted_probability,gender,age_group
0,1,0.5003925790554443,f,50+
1,1,0.729390862594917,m,30-39
0,0,0.17799699104089128,f,40-49
0,0,0.1613546526685473,m,30-39
0,0,0.3408174789170361,m,50+
1,0,0.37699773628148625,m,30-39
0,0,0.13132749240549177,m,Under 30
0,1,0.539554563626759,m,30-39
0,1,0.7153650041361631,m,Under 30
1,1,0.7342459826876709,m,30-39
0,0,0.3310640774873162,m,40-49
0,0,0.14311174657866707,m,30-39
0,0,0.4321282166289225,m,Under 30
0,0,0.39472583414073725,m,30-39
1,1,0.5180199504455267,m,Under 30
1,0,0.43675620028041146,f,40-49
0,0,0.15823410580731517,f,Under 30
0,0,0.10036335355773963,m,30-39
1,1,0.6924813848993399,m,30-39
0,0,0.2676328417046719,f,30-39
0,1,0.6001319068308076,f,Under 30
0,0,0.3000284352086361,m,30-39
0,1,0.5754908495385919,m,40-49
0,0,0.07399751062122711,m,40-49
0,0,0.15559642990230704,f,40-49
0,1,0.5873255797582602,m,30-39
0,0,0.32513638598672845,f,Under 30
0,0,0.2253729673292959,f,30-39
0,0,0.2595574760815446,m,40-49
0,0,0.3315339492769182,m,50+
1,1,0.708846034891255,m,30-39
0,0,0.17637014460219474,f,30-39
0,0,0.2994337802635021,m,30-39
0,1,0.7267602514992668,m,40-49
0,1,0.5819013550290741,m,40-49
1,0,0.3142525806092848,m,30-39
0,1,0.5182071632557721,f,40-49
0,1,0.5827699483978598,f,Under 30
0,0,0.219436966916845,m,30-39
0,0,0.17313594204482358,m,40-49
0,0,0.40218842645435804,m,Under 30
0,0,0.37829433951892816,f,30-39
0,1,0.5265524624531007,m,40-49
1,1,0.9981125650608501,f,40-49
0,1,0.5213452146214574,m,30-39
0,0,0.38600091387258,f,30-39
1,1,0.8849351910910177,m,Under 30
0,0,0.2849728644857767,m,30-39
1,1,0.7048489720921823,f,Under 30
0,0,0.49579680725367586,m,30-39
0,0,0.4262867178059678,m,30-39
1,1,0.7427966608142132,m,30-39
1,1,0.9939216348029045,m,30-39
0,0,0.3685392375197196,f,Under 30
0,0,0.3202047258157563,m,40-49
0,0,0.2906575966634721,m,Under 30
0,1,0.5026944579333997,f,40-49
0,0,0.287653007736064,f,30-39
0,1,0.6156881920724723,m,30-39
0,0,0.31825739891350086,m,30-39
0,0,0.2861761828794335,f,Under 30
0,1,0.5798549183681664,m,Under 30
0,0,0.233488192809087,m,30-39
1,1,0.6817213370353495,m,30-39
0,1,0.5110466167410423,m,30-39
0,0,0.29050390440989265,m,Under 30
0,0,0.39663727480519295,m,Under 30
0,0,0.1881948842889792,m,30-39
0,1,0.8517766850096817,f,30-39
0,0,0.42044887113519663,f,30-39
0,1,0.5385506979730406,f,30-39
0,0,0.20290798685019415,m,30-39
0,1,0.746328397734932,m,30-39
0,0,0.26154222506679714,m,Under 30
0,0,0.4847408696706923,m,Under 30
0,0,0.3584195865696336,m,Under 30
0,0,0.38362233003127405,m,40-49
0,1,0.5620997067495205,m,30-39
0,0,0.13714911955410553,m,Under 30
0,1,0.6130018355018896,m,30-39
0,0,0.22419051190909034,f,30-39
1,1,0.7690641389205356,f,30-39
1,1,0.6813285672742363,m,Under 30
0,0,0.402654070461675,m,40-49
1,0,0.1785180517936191,m,40-49
0,0,0.07397000556936802,m,30-39
0,0,0.24011691758521986,m,Under 30
0,0,0.11815939681932398,m,30-39
0,1,0.7555849417773396,m,30-39
0,0,0.18336208527492515,f,30-39
0,0,0.36508363365104723,m,Under 30
0,0,0.22599506883698514,m,Under 30
0,0,0.04400182717237748,m,30-39
0,1,0.6457792109873666,m,30-39
0,1,0.5984333404502175,f,30-39
0,1,0.5453544999234154,f,30-39
0,0,0.039447971139842414,f,30-39
0,1,0.7566158980260014,m,30-39
0,1,0.7736675380879223,m,30-39
0,1,0.654749007342536,m,30-39
0,0,0.4670562462600261,m,Under 30
0,0,0.1281822731374949,m,Under 30
0,0,0.2333736415365997,f,Under 30
0,0,0.37272243103840047,f,30-39
0,1,0.606389626440043,f,40-49
0,0,0.3446572342187977,f,Under 30
0,0,0.4278693909418758,f,Under 30
0,0,0.11991896346558904,m,40-49
0,0,0.3149904704854147,m,Under 30
0,1,0.7527235241453134,m,Under 30
0,0,0.2882720705292236,m,40-49
0,0,0.33104387921664075,m,Under 30
0,1,0.5213630970987251,m,Under 30
0,1,0.7163470649379025,f,30-39
0,0,0.39470873335407397,m,40-49
0,0,0.2877838931041966,f,30-39
0,0,0.21359678227838944,f,30-39
0,0,0.3818221588153238,m,40-49
1,0,0.40682252177573935,m,30-39
0,1,0.6369203508260616,f,30-39
0,1,0.6538609437375918,m,40-49
0,0,0.3001957671952661,m,Under 30
0,0,0.36430528984678534,f,30-39
0,1,0.5571445273733021,f,40-49
0,1,0.6225771731373297,m,30-39
0,0,0.48720736938143006,m,Under 30
0,0,0.06056849361833718,m,Under 30
0,0,0.15640552827666906,m,30-39
0,0,0.017081851561539657,m,30-39
0,0,0.3230332172699685,f,30-39
1,1,0.9999361638627218,f,30-39
0,0,0.3266939880495763,m,30-39
0,1,0.748324177355753,m,Under 30
0,0,0.33366552542757466,f,30-39
0,0,0.48062098833680367,f,30-39
0,0,0.3247160357697644,m,40-49
0,0,0.22029322895434275,m,30-39
0,0,0.11347207522816358,m,40-49
0,1,0.7111946734769645,m,50+
0,0,0.29024882187802004,m,40-49
0,0,0.18861234298633847,f,Under 30
0,0,0.26711156721118906,f,30-39
0,0,0.10072590783745825,m,Under 30
0,1,0.5465188452108649,m,30-39
0,1,0.5657816781590124,m,Under 30
0,0,0.4400148820289292,m,30-39
0,0,0.07181164130668334,m,30-39
0,0,0.3780518503592508,m,30-39
0,0,0.2667325386889853,m,30-39
0,1,0.5973268772492095,m,Under 30
0,0,0.21501788169120006,m,Under 30
0,0,0.20229676892975804,m,40-49
0,1,0.5361788782342622,m,Under 30
0,1,0.6327485041334476,m,30-39
0,0,0.3134775832659714,f,40-49
0,1,0.695560057908121,f,30-39
0,0,0.11481516742809911,m,30-39
0,0,0.23597728142543725,m,50+
0,0,0.4442744986765669,f,Under 30
0,0,0.3552076560117915,m,30-39
1,1,0.9996304959684809,f,30-39
0,0,0.4837847033109462,m,Under 30
0,0,0.23663818581811932,m,Under 30
0,0,0.31492098301966337,f,30-39
0,0,0.26750966807561455,m,50+
0,0,0.2222706549483115,m,30-39
0,0,0.19416857981449986,m,30-39
0,0,0.23919431845962635,m,30-39
0,1,0.6049401591631776,f,30-39
0,1,0.5906444443438018,m,30-39
0,0,0.15196752377775272,m,Under 30
0,0,0.2876004453085038,m,Under 30
0,0,0.4289393690325699,m,Under 30
0,0,0.2906462306511821,m,30-39
1,0,0.15572986074310968,m,30-39
0,0,0.11131483360420902,m,Under 30
0,1,0.7875747752428383,m,Under 30
0,1,0.5672413737283266,m,30-39
0,1,0.7344182239034017,f,30-39
0,0,0.33824858933034496,m,30-39
0,1,0.9284713211151169,m,30-39
0,1,0.5355302164877032,f,30-39
0,1,0.5896771601318486,f,30-39
0,1,0.6373199024900689,f,Under 30
0,1,0.5305692034812151,m,Under 30
0,0,0.24986794343231722,m,Under 30
0,1,0.7051177240501308,m,Under 30
0,1,0.7041260489327568,m,30-39
0,0,0.15000586884912898,m,30-39
0,0,0.38437014987930496,m,40-49
0,0,0.021148700952550444,m,30-39
0,1,0.7928926133365006,f,30-39
0,0,0.0734771140311193,f,30-39
0,1,0.6120879171598184,m,40-49
0,0,0.16035572469394138,m,Under 30
0,0,0.49874784012235746,m,30-39
0,0,0.32342968596549737,f,40-49
0,0,0.18066054079977933,m,30-39
0,0,0.23191676099332156,f,50+
0,0,0.1708016723948961,f,30-39
0,1,0.665086789332088,m,Under 30
0,1,0.5813139701112463,f,30-39
0,0,0.3194816910320559,m,Under 30
0,0,0.2022332804738932,m,30-39
0,0,0.47832576027021123,m,40-49
0,0,0.4096418257105264,m,30-39
0,0,0.14148466794761974,f,Under 30
0,0,0.3850948684799874,m,30-39
0,0,0.24911010805856984,m,30-39
0,0,0.13955028509713863,m,Under 30
0,0,0.27041540301892975,f,40-49
0,0,0.3678228258111913,m,Under 30
0,1,0.7603738974473468,m,30-39
0,0,0.36014813045110095,m,30-39
0,1,0.8392218269651063,m,40-49
0,0,0.4197668100924791,f,30-39
0,0,0.3721964059546018,f,Under 30
0,1,0.5517653211595517,m,30-39
0,0,0.09548608602124962,f,30-39
0,0,0.18670705999110215,f,Under 30
0,0,0.34728027918691734,m,40-49
0,0,0.1585583825928759,m,30-39
0,1,0.7569152866773223,f,40-49
0,0,0.23847651267745265,m,Under 30
0,0,0.15203596886919454,m,Under 30
0,1,0.5643651417469611,m,30-39
1,1,0.9895501150593882,f,Under 30
0,0,0.306236387088376,m,30-39
0,0,0.3976247050329723,m,40-49
0,0,0.08949999258463091,f,30-39
0,0,0.09088942971775454,m,Under 30
0,0,0.4770666031568984,m,40-49
0,0,0.3199911094050077,m,Under 30
0,0,0.08082942386219821,m,30-39
0,1,0.5821285981020696,m,30-39
0,1,0.7696519298507996,f,30-39
0,0,0.28546606689388276,m,30-39
0,0,0.11590641615462628,f,50+
0,0,0.21833981600701616,m,Under 30
0,0,0.2822297555334883,f,30-39
0,1,0.6063228958036223,f,30-39
0,1,0.549525744441056,m,Under 30
0,0,0.10490266239573502,m,40-49
0,0,0.2854579804046029,f,Under 30
0,0,0.26574799459488124,m,50+
0,0,0.18967537221052672,m,30-39
0,0,0.33869363832291105,m,Under 30
1,1,0.8330710403514668,m,40-49
0,0,0.3346485768621033,f,Under 30
0,1,0.7162088558611206,m,30-39
0,0,0.4669772141644555,m,30-39
1,1,0.922251685678418,m,30-39
0,0,0.21364209427782688,m,Under 30
1,1,0.9332336782347879,m,Under 30
1,1,0.5479205820951619,f,Under 30
0,1,0.5926097194506065,f,30-39
0,0,0.3783815669195502,m,30-39
0,1,0.5874292007798875,m,30-39
0,0,0.3643565276170827,m,30-39
0,0,0.33450103430597133,f,50+
0,0,0.399563870361835,f,40-49
0,0,0.1892609534626186,m,Under 30
0,0,0.4081712400759936,m,30-39
0,0,0.3857371393090823,m,40-49
0,0,0.3619272018875218,m,Under 30
1,1,0.9869674210813645,f,30-39
0,0,0.16154287142271506,m,40-49
0,0,0.20927875516579386,m,40-49
0,1,0.8028702031107043,m,30-39
0,1,0.5067573748145697,m,30-39
0,0,0.11116568109945832,m,30-39
0,1,0.5411413058239861,m,Under 30
0,0,0.17425764859227033,m,40-49
0,0,0.3227446292037261,f,40-49
1,1,0.9143375745105405,m,30-39
0,0,0.4254726943614779,m,Under 30
0,0,0.08801234066092123,m,40-49
0,0,0.3744748075926904,m,30-39
0,1,0.6251262020631069,m,40-49
0,1,0.5545351331857896,f,Under 30
1,1,0.8352417549471189,m,40-49
1,1,0.8732221709242816,f,30-39
0,0,0.3001220213278108,f,50+
0,0,0.3400507966216808,m,30-39
0,0,0.45624486258669733,m,Under 30
0,0,0.1955211033796233,m,30-39
0,0,0.32787763408692094,m,30-39
0,0,0.21749560805890997,m,30-39
0,0,0.13249659607415165,f,40-49
1,0,0.3844459009408736,m,Under 30
0,0,0.20717354078693526,m,30-39
0,1,0.7517566057174485,m,30-39
0,0,0.3712467641984104,m,30-39
0,0,0.28666206805615874,m,30-39
0,0,0.45517358166969474,f,30-39
0,0,0.1412888759073192,f,50+
0,0,0.46050385146490846,m,30-39
0,0,0.18634941991896856,m,30-39
0,0,0.45460657505943586,m,30-39
0,0,0.3276381830521293,m,30-39
0,0,0.28965346280343063,m,40-49
0,0,0.3575945084682434,m,Under 30
0,1,0.5198773860689135,m,30-39
0,0,0.387674382316861,m,30-39
0,1,0.6029330480223765,f,Under 30
0,1,0.6053066437164686,f,30-39
0,0,0.1961999549744979,f,30-39
0,0,0.27762205252960864,m,40-49
0,1,0.5925035006894415,m,40-49
0,1,0.7128536332383726,m,30-39
0,0,0.20690360835587748,m,50+
0,0,0.33915613897712,m,Under 30
0,0,0.2473309106798079,f,50+
0,0,0.11580293300282549,m,40-49
0,0,0.4137218216633791,m,30-39
0,0,0.32031086093269123,f,30-39
0,0,0.4354978584136212,m,Under 30
0,1,0.6198545754078499,f,30-39
0,1,0.71506824803724,f,Under 30
0,0,0.33997984255836655,m,30-39
0,0,0.35895255275357824,m,40-49
1,0,0.26710925852953943,m,30-39
0,0,0.4048605069768665,f,40-49
0,1,0.7958918111612732,m,40-49
0,0,0.13911932585187256,m,30-39
0,0,0.06912176199811862,m,30-39
0,0,0.28250653092201333,f,30-39
0,0,0.2307372149829354,m,Under 30
0,0,0.49465746328415194,m,30-39
0,0,0.20333993575279918,m,30-39
0,0,0.3595338704488635,f,40-49
0,0,0.2502999120948356,m,40-49
0,0,0.1974537196840997,m,30-39
0,1,0.5540324267268528,m,30-39
0,0,0.43201616881435023,m,40-49
0,0,0.18522326572820055,f,30-39
0,1,0.6690468493609402,m,Under 30
0,0,0.41485444324992915,m,50+
0,0,0.3196803841675294,f,30-39
0,0,0.14386278834140084,f,30-39
0,0,0.3693571817717845,m,Under 30
0,1,0.5265072260849062,m,40-49
0,0,0.2422552736478986,m,30-39
0,0,0.11732748326790628,m,50+
0,0,0.3440870784220962,m,30-39
0,0,0.39452400990045156,m,Under 30
0,0,0.07038810122153219,m,40-49
0,0,0.14891886499977175,f,30-39
0,1,0.6949162936011897,f,30-39
0,0,0.05598061024251602,f,40-49
0,0,0.4897693970581145,m,Under 30
0,1,0.551472365783736,f,30-39
0,0,0.3582851667008581,f,40-49
0,1,0.7279316067860166,m,40-49
0,0,0.20537702425642215,m,30-39
0,0,0.21638635145133892,m,30-39
0,0,0.22024869632501703,m,50+
0,0,0.27621619745494586,f,Under 30
0,0,0.23151900561876218,m,30-39
0,0,0.4311899549118435,m,Under 30
0,0,0.3289030105407276,m,Under 30
0,1,0.6444252608992111,f,30-39
1,1,0.5337522357192058,m,30-39
1,0,0.27779610064587923,f,30-39
0,1,0.6742760690226983,f,30-39
0,0,0.23241322089377922,f,50+
0,1,0.560247214861764,m,Under 30
0,0,0.18177567961374763,f,30-39
0,0,0.24637785781896265,m,40-49
0,0,0.2136979646079757,m,30-39
0,0,0.08336776001111469,f,30-39
0,0,0.18745793047994122,m,Under 30
0,1,0.5990553407050844,m,30-39
1,0,0.44595391034359905,f,30-39
0,0,0.35124982919891135,m,30-39
0,1,0.66403482612989,m,40-49
0,0,0.19561848054952663,m,50+
0,0,0.17178320609225275,m,30-39
0,0,0.16550456653454654,m,40-49
1,1,0.8633387956230549,f,40-49
0,0,0.3620157554478305,m,40-49
0,0,0.07761270879164806,f,40-49
0,0,0.07982716296583904,m,30-39
0,0,0.45370367864553524,m,40-49
0,1,0.7450758361009338,m,30-39
1,1,0.7397149181286274,f,40-49
0,0,0.4376127394320552,m,30-39
0,0,0.41960176136324856,m,30-39
0,1,0.6151562587947669,m,30-39
0,0,0.39172202874933293,f,Under 30
0,0,0.24519334763326148,m,40-49
0,0,0.1890998321925322,f,30-39
0,0,0.2670577522637813,m,30-39
0,0,0.09199571553913345,m,40-49
0,0,0.23007523908375355,f,50+
0,0,0.27398514597412527,m,40-49
0,1,0.7174473960365084,m,30-39
0,0,0.30738665481701827,m,30-39
0,0,0.11638102834177498,m,30-39
0,1,0.5341445510577432,m,30-39
0,0,0.26932186200443614,m,30-39
0,0,0.35304475973210053,m,30-39
0,0,0.3063213932445428,m,50+
0,0,0.1339533492075353,f,30-39
0,1,0.5553324201685939,m,30-39
0,1,0.5750773732654884,m,Under 30
1,1,0.9386487987084511,m,40-49
0,0,0.19652277321709116,m,40-49
0,0,0.19738333367484584,m,30-39
0,0,0.21623175295220637,f,Under 30
0,0,0.3103320446470368,f,30-39
0,0,0.22286709293979654,m,30-39
0,0,0.22264097114640474,m,50+
0,0,0.3216457164984021,f,30-39
0,0,0.07038227030006547,m,30-39
0,1,0.5847419011357516,f,30-39
0,0,0.36147828415625616,m,30-39
0,0,0.29948399261453285,f,30-39
0,0,0.3605391270583858,m,30-39
0,0,0.2595107440807057,m,30-39
0,0,0.4404125834461308,f,Under 30
0,1,0.5941817289332181,f,40-49
0,1,0.5996010615095266,m,Under 30
0,0,0.10739394628898002,f,50+
1,1,0.555542183269309,m,30-39
0,0,0.1410157807271638,m,Under 30
0,0,0.20882886481017246,m,30-39
0,0,0.42014421481447484,m,30-39
0,0,0.32048379602661786,m,30-39
1,1,0.9624471706887584,f,30-39
0,0,0.4947057936079343,m,40-49
1,0,0.3036970096049872,m,30-39
1,1,0.6113068641245059,m,30-39
0,1,0.521641594305031,m,30-39
0,1,0.6846753761486155,m,30-39
0,1,0.5418273124852032,m,Under 30
0,0,0.45122202384214793,m,30-39
1,0,0.17489331378431297,f,30-39
0,0,0.2528008930999266,f,40-49
0,0,0.3891742601566783,f,30-39
0,0,0.1746695657312664,f,Under 30
0,0,0.2237741023590308,m,30-39
0,0,0.3030987652559868,m,30-39
0,0,0.2771602998297894,m,40-49
0,1,0.6908929192228979,f,Under 30
0,0,0.1731109480700736,f,50+
0,0,0.3708643928644937,f,Under 30
0,0,0.1526012714563905,m,Under 30
0,1,0.542704645176637,m,Under 30
0,0,0.20974385471885013,m,Under 30
0,0,0.3233042042417441,f,30-39
0,0,0.17670611852402757,m,50+
0,0,0.48122981093584666,f,Under 30
0,1,0.5876801336755806,m,30-39
0,0,0.44984021850362094,f,Under 30
0,0,0.36105715416745093,f,30-39
0,0,0.3931706064649132,f,Under 30
0,0,0.21660658263752303,m,Under 30
0,0,0.46168500839645765,m,30-39
1,1,0.8659945058416967,m,30-39
1,1,0.9891232920334303,m,30-39
0,0,0.44747780081376437,f,Under 30
0,0,0.259417001723672,m,30-39
0,1,0.8657512997980495,m,30-39
0,0,0.2630306821175985,m,30-39
0,0,0.3502718220294734,f,30-39
1,1,0.8462617244795386,m,30-39
0,1,0.6114610881384445,m,40-49
0,1,0.5289800497794517,m,30-39
0,0,0.18399928140544472,m,30-39
0,0,0.4138147843952119,f,30-39
0,0,0.4347049927280684,m,30-39
1,1,0.8213697453890852,m,Under 30
0,0,0.4721306040192954,m,40-49
0,1,0.6555586352351136,m,30-39
0,0,0.23895804476037946,m,30-39
0,1,0.5091342145339558,f,Under 30
0,0,0.06655731465652746,f,Under 30
0,0,0.2813577875449813,f,30-39
0,0,0.493342811908762,m,30-39
0,0,0.25191490785634085,m,30-39
0,1,0.5245256011309192,m,30-39
0,1,0.5605904848242621,m,Under 30
0,0,0.1652251895067553,f,Under 30
0,0,0.10456331002120857,m,30-39
0,0,0.35345297474409176,f,50+
0,0,0.32271300262892966,m,30-39
0,1,0.5939379049068048,f,30-39
0,0,0.41609784469639416,m,30-39
0,0,0.14804129215335995,f,Under 30
1,1,0.509923425942968,m,30-39
0,0,0.3155159811558903,m,Under 30
0,1,0.5247024920529575,m,30-39
0,0,0.07277827498049515,f,Under 30
1,0,0.42020562839605513,m,40-49
0,0,0.24557063424928197,m,30-39
1,1,0.8553125684715691,f,Under 30
0,0,0.19840880581621817,m,Under 30
0,0,0.367830192595587,m,30-39
0,0,0.21413024287895494,f,30-39
0,0,0.26706030452156226,f,30-39
0,0,0.33460532632655904,m,30-39
0,0,0.12987910897120228,m,40-49
1,0,0.18777307478962824,f,30-39
1,1,0.9987342780185897,m,Under 30
0,0,0.4256347670124867,m,40-49
0,1,0.7215842795157369,m,30-39
0,0,0.37609110913560645,m,Under 30
0,0,0.24885459343981414,m,30-39
0,0,0.2798735954052112,m,30-39
0,1,0.6181165104589043,m,30-39
0,0,0.3175845559280434,m,Under 30
0,0,0.3788520069020871,m,Under 30
0,1,0.5757843186254782,f,40-49
0,0,0.41712991327771515,m,30-39
0,0,0.14838325836046412,m,Under 30
0,0,0.1898290648783064,m,Under 30
0,0,0.28823569984739145,f,30-39
0,0,0.30513051546449504,f,30-39
0,0,0.44707738919276757,m,Under 30
0,0,0.12613498952022617,f,40-49
0,0,0.3252210270174672,f,30-39
0,0,0.3254272441550836,m,Under 30
0,0,0.4481649079384022,f,30-39
0,0,0.14552349560500877,f,40-49
0,0,0.34518108188282864,m,30-39
0,0,0.12407767171271782,f,30-39
0,0,0.06774333333493965,f,50+
0,0,0.2901067458999278,m,40-49
0,0,0.29796064871404615,f,30-39
0,0,0.4902490006967797,m,30-39
0,0,0.051530391104277866,m,Under 30
0,0,0.17235103290241974,m,Under 30
0,0,0.32615882495477,f,30-39
0,0,0.30150615541546943,m,Under 30
1,0,0.2663253544836471,m,40-49
0,0,0.22891873733477142,m,Under 30
0,0,0.476722225982939,m,30-39
0,0,0.3432384680717698,m,30-39
0,0,0.38472770640503123,m,30-39
0,0,0.1893526445255885,m,30-39
0,0,0.20215421508604323,m,30-39
0,0,0.4628808928262571,m,Under 30
1,1,0.8095127128647518,m,30-39
0,0,0.33422392392707806,m,Under 30
0,1,0.5768680132917602,m,30-39
0,0,0.2028033175909442,f,30-39
0,1,0.5102938141772204,m,Under 30
1,1,0.9995133065581285,m,30-39
0,0,0.0417955301405547,m,40-49
0,0,0.119974986121856,m,40-49
0,0,0.20851398227558576,m,30-39
1,1,0.8609275282428666,f,30-39
0,0,0.39298440973063425,f,40-49
0,0,0.3837034606343721,m,30-39
0,0,0.44517111776364476,m,Under 30
0,1,0.7752116422207075,m,50+
0,0,0.3181384269259934,f,Under 30
1,1,0.8826623420963041,m,Under 30
0,0,0.35528117907869483,m,Under 30
0,1,0.5395494896137863,m,40-49
0,0,0.4282471597898002,f,30-39
0,0,0.4038110592234845,m,30-39
0,0,0.4369290511897943,m,30-39
0,0,0.3454048143345676,f,30-39
0,0,0.18368895911923155,m,30-39
0,0,0.26828359296450915,m,30-39
0,0,0.10707582132526469,f,30-39
0,0,0.41810416473812634,f,30-39
1,1,0.8694034306364155,m,Under 30
0,0,0.11221862711576835,m,30-39
0,1,0.7702158007294134,m,40-49
0,0,0.17606701914433523,m,30-39
0,0,0.32997256653308416,m,Under 30
0,0,0.27473128544007847,f,30-39
0,0,0.2876354074566546,f,30-39
0,0,0.20360654376547904,f,50+
0,0,0.14524449530415579,m,30-39
1,1,0.7911948485899033,m,Under 30
0,0,0.1638155600567433,m,30-39
0,0,0.2683726182379401,m,Under 30
0,0,0.12650842955391123,m,30-39
0,0,0.1162042432305312,m,30-39
0,0,0.38684617422694084,f,Under 30
0,0,0.27834359596478636,f,30-39
1,1,0.5199567863492953,m,30-39
0,1,0.5116796854884411,m,Under 30
0,0,0.4216200015933142,m,40-49
0,0,0.11909541461610544,f,30-39
0,0,0.2529690140937351,f,30-39
0,1,0.5711820263232135,m,40-49
0,1,0.55089066418854,m,30-39
0,1,0.6413687379644072,m,30-39
0,1,0.6131355674842239,m,Under 30
0,0,0.26140335761141115,m,40-49
0,0,0.49811356312143756,m,Under 30
0,0,0.18434616035387852,m,30-39
0,0,0.16470605473144198,m,30-39
0,0,0.31809064228507405,f,30-39
0,1,0.7942600608858027,f,Under 30
0,0,0.10853057548188673,m,40-49
0,0,0.11620563621355919,m,40-49
0,0,0.17314197907007797,m,30-39
0,0,0.29945678899303396,f,30-39
0,0,0.2632934221828468,m,50+
0,0,0.44763097978257466,m,40-49
0,0,0.4442555228690773,f,30-39
0,0,0.048822357929559315,m,30-39
0,1,0.5629152705131882,m,30-39
0,0,0.38623344780748065,m,Under 30
1,1,0.7790448231140155,m,30-39
0,0,0.16624061485321462,m,40-49
0,0,0.0734355991331554,m,30-39
0,0,0.4799022260613159,f,40-49
0,1,0.5993451458552307,m,40-49
0,0,0.40927670263966104,m,Under 30
0,0,0.1080903806617023,m,Under 30
0,0,0.13741800037452512,m,30-39
0,0,0.15861812355050345,m,30-39
0,0,0.3832362477483454,f,30-39
0,0,0.4830021355544019,f,30-39
0,0,0.08460658081696495,m,30-39
0,1,0.7197867292612916,f,30-39
0,1,0.5892757273477833,m,30-39
1,0,0.4377717381141429,m,30-39
0,0,0.3755816447014955,m,Under 30
0,0,0.3882758988280564,m,40-49
0,0,0.2733906909336363,m,30-39
0,0,0.15111488351267355,m,30-39
0,0,0.22286628497682703,m,30-39
0,1,0.580958268419443,f,40-49
0,0,0.4328094690157128,f,30-39
0,0,0.40664394552897365,m,30-39
0,1,0.8653734743073022,m,30-39
0,0,0.4906416370577678,m,30-39
1,0,0.48943638824349706,f,Under 30
0,1,0.5129719248004488,f,Under 30
0,0,0.13137563983007985,f,30-39
0,0,0.3792651743511355,m,40-49
0,1,0.5467732750205505,m,30-39
0,0,0.1283503865813622,m,Under 30
0,1,0.5337565335210269,f,30-39
0,0,0.1915210070525222,f,50+
0,0,0.04792378484937781,m,30-39
0,0,0.33577268855717807,f,Under 30
1,0,0.3479687886397654,m,Under 30
0,0,0.1325368326620185,f,30-39
0,0,0.29733818052881167,f,50+
0,0,0.1299549394035663,f,30-39
0,0,0.07118668402064522,m,Under 30
0,0,0.21825167361124895,m,40-49
0,1,0.505454052081475,m,30-39
0,0,0.3000702328499062,m,30-39
0,1,0.58352388702184,f,30-39
0,0,0.15157286142811133,f,Under 30
1,1,0.999930285103157,f,30-39
0,1,0.6239896938890108,m,Under 30
0,0,0.10615029390320399,m,Under 30
